  SAMPLE,  NUMBER, TAKEOFF,KILOVOLT, CURRENT,BEAMSIZE,    LINE,  Si WT%,  Na WT%,   F WT%,  Al WT%,  Ca WT%,  Nb WT%,  Sn WT%,   W WT%,  Ta WT%,  Ti WT%,  Cr WT%,  Mn WT%,  Fe WT%,   U WT%,  Pb WT%,  Th WT%,  Zr WT%,  Hf WT%,   O WT%,   TOTAL,    SiO2,    Na2O,       F,   Al2O3,     CaO,   Nb2O5,    SnO2,     WO3,   Ta2O5,    TiO2,   Cr2O3,     MnO,     FeO,     UO2,     PbO,    ThO2,    ZrO2,    HfO2,       O,   TOTAL,  Si AT%,  Na AT%,   F AT%,  Al AT%,  Ca AT%,  Nb AT%,  Sn AT%,   W AT%,  Ta AT%,  Ti AT%,  Cr AT%,  Mn AT%,  Fe AT%,   U AT%,  Pb AT%,  Th AT%,  Zr AT%,  Hf AT%,   O AT%,Si OXMOL%,Na OXMOL%,F OXMOL%,Al OXMOL%,Ca OXMOL%,Nb OXMOL%,Sn OXMOL%,W OXMOL%,Ta OXMOL%,Ti OXMOL%,Cr OXMOL%,Mn OXMOL%,Fe OXMOL%,U OXMOL%,Pb OXMOL%,Th OXMOL%,Zr OXMOL%,Hf OXMOL%,O OXMOL%,   TOTAL, FORMULA,   BASIS,Si FORMULA,Na FORMULA,F FORMULA,Al FORMULA,Ca FORMULA,Nb FORMULA,Sn FORMULA,W FORMULA,Ta FORMULA,Ti FORMULA,Cr FORMULA,Mn FORMULA,Fe FORMULA,U FORMULA,Pb FORMULA,Th FORMULA,Zr FORMULA,Hf FORMULA,O FORMULA,Si CDL99,Na CDL99, F CDL99,Al CDL99,Ca CDL99,Nb CDL99,Sn CDL99, W CDL99,Ta CDL99,Ti CDL99,Cr CDL99,Mn CDL99,Fe CDL99, U CDL99,Pb CDL99,Th CDL99,Zr CDL99,Hf CDL99,Si %ERR ,Na %ERR , F %ERR ,Al %ERR ,Ca %ERR ,Nb %ERR ,Sn %ERR , W %ERR ,Ta %ERR ,Ti %ERR ,Cr %ERR ,Mn %ERR ,Fe %ERR , U %ERR ,Pb %ERR ,Th %ERR ,Zr %ERR ,Hf %ERR ,   X-POS,   Y-POS,   Z-POS, RELDIST,Si STD_NUM,Na STD_NUM,F STD_NUM,Al STD_NUM,Ca STD_NUM,Nb STD_NUM,Sn STD_NUM,W STD_NUM,Ta STD_NUM,Ti STD_NUM,Cr STD_NUM,Mn STD_NUM,Fe STD_NUM,U STD_NUM,Pb STD_NUM,Th STD_NUM,Zr STD_NUM,Hf STD_NUM,Si STD_NAM,Na STD_NAM,F STD_NAM,Al STD_NAM,Ca STD_NAM,Nb STD_NAM,Sn STD_NAM,W STD_NAM,Ta STD_NAM,Ti STD_NAM,Cr STD_NAM,Mn STD_NAM,Fe STD_NAM,U STD_NAM,Pb STD_NAM,Th STD_NAM,Zr STD_NAM,Hf STD_NAM
Bischoff_b1,2,40,20,40,0,79,0.003592,0.04409,0,0,0,0,78.7571,0.077362,0.068645,0.239615,0.022737,0,0.038471,0.014109,0,0.019671,0.010751,0.076559,21.4922,100.865,0.007685,0.059432,0,0,0,0,99.9908,0.09756,0.083819,0.399691,0.033231,0,0.049493,0.016005,0,0.022384,0.014523,0.090285,0.000006,100.865,0.006342,0.095105,0,0,0,0,32.9065,0.020868,0.018813,0.248076,0.021685,0,0.034162,0.002939,0,0.004204,0.005845,0.021271,66.6142,0.019036,0.142723,0.000001,0,0,0,98.7649,0.062632,0.028233,0.74457,0.032543,0,0.102534,0.008822,0,0.012618,0.017543,0.063842,0,100,2,O,0.00019,0.002855,0,0,0,0,0.987972,0.000627,0.000565,0.007448,0.000651,0,0.001026,0.000088,0,0.000126,0.000175,0.000639,2,0.006985,0.019206,0.077861,0.006295,0.002247,0.012631,0.007875,0.038507,0.032023,0.017098,0.011434,0.013485,0.012462,0.006993,0.060638,0.007386,0.011296,0.028225,137.755,31.8764,-1.8354,-69.644,-38.186,-343,0.063515,35.646,33.4091,6.44161,36.5866,-42.004,23.7546,35.1124,-120.16,26.6712,74.931,26.4788,-3.6092,33.8647,13.052,0,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,80,0.005894,0.019233,0,0,0,0,78.6449,0.08532,0.080836,0.267219,0.007089,0,0.149866,0.008742,0.04558,0.018921,0.035693,0.076769,21.5153,100.961,0.012609,0.025926,0,0,0,0,99.8483,0.107596,0.098706,0.445737,0.010361,0,0.192802,0.009917,0.0491,0.02153,0.048215,0.090532,0,100.961,0.010395,0.041439,0,0,0,0,32.8214,0.022987,0.022129,0.276333,0.006753,0,0.132924,0.001819,0.010897,0.004039,0.019382,0.021304,66.6082,0.031163,0.062115,0.000001,0,0,0,98.3954,0.068914,0.03317,0.82842,0.010123,0,0.398495,0.005454,0.032668,0.012109,0.058105,0.063869,0,100,2,O,0.000312,0.001244,0,0,0,0,0.985505,0.00069,0.000664,0.008297,0.000203,0,0.003991,0.000055,0.000327,0.000121,0.000582,0.00064,2,0.006986,0.019208,0.077837,0.006296,0.002248,0.012634,0.007878,0.038517,0.032031,0.017098,0.011434,0.013487,0.012464,0.006997,0.06066,0.00739,0.0113,0.028232,84.1364,71.6641,-1.7232,-57.451,-14.682,-783.46,0.063591,32.3771,28.451,5.9034,115.056,-178.97,6.69968,56.5737,93.3578,27.7328,23.0778,26.4144,-3.6142,33.8644,13.052,5.00965,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,81,0,0.025206,0,0,0,0,78.5778,0.087163,0.062476,0.264316,0,0,0.36089,0.007196,0.043057,0.027173,0.05014,0.058772,21.5468,101.111,0,0.033978,0,0,0,0,99.7632,0.10992,0.076287,0.440894,0,0,0.464284,0.008163,0.046382,0.030921,0.06773,0.069308,0.000002,101.111,0,0.054174,0,0,0,0,32.712,0.023426,0.01706,0.272652,0,0,0.319299,0.001494,0.010268,0.005786,0.027159,0.01627,66.5404,0,0.081041,0.000001,0,0,0,97.8699,0.070086,0.025521,0.815738,0,0,0.955297,0.004469,0.030721,0.017312,0.081257,0.048676,0,100,2,O,0,0.001628,0,0,0,0,0.983224,0.000704,0.000513,0.008195,0,0,0.009597,0.000045,0.000309,0.000174,0.000816,0.000489,2,0.006981,0.0192,0.077679,0.006295,0.002246,0.012626,0.007874,0.038503,0.032019,0.017082,0.011423,0.013479,0.012457,0.006992,0.06064,0.007386,0.011294,0.028222,-64.974,54.9205,-1.7286,-73.604,-32.39,-82.441,0.063612,31.6921,36.6551,5.95064,-299.92,-115.72,3.20085,68.6409,98.7851,19.3672,16.6241,34.3485,-3.6192,33.8641,13.052,10.0079,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,82,0,0.022197,0,0,0,0,78.4563,0.035146,0.112492,0.469664,0.010975,0.015302,0.09785,0.012163,0.033177,0.016762,0.018967,0.048984,21.5676,100.918,0,0.029921,0,0,0,0,99.6088,0.044322,0.13736,0.783428,0.016041,0.019758,0.125884,0.013798,0.035739,0.019074,0.025621,0.057766,0,100.918,0,0.047713,0,0,0,0,32.6657,0.009447,0.030722,0.484541,0.010431,0.013764,0.086584,0.002525,0.007913,0.00357,0.010275,0.013562,66.6133,0,0.071551,0.000001,0,0,0,97.9707,0.028333,0.04607,1.45323,0.015642,0.041282,0.259683,0.007573,0.023733,0.010707,0.030817,0.040675,0,100,2,O,0,0.001433,0,0,0,0,0.980757,0.000284,0.000922,0.014548,0.000313,0.000413,0.0026,0.000076,0.000238,0.000107,0.000309,0.000407,2,0.006978,0.019185,0.077758,0.006292,0.002245,0.012619,0.00787,0.038495,0.032012,0.017079,0.011426,0.013478,0.012457,0.006988,0.060631,0.007382,0.011289,0.028216,-992.74,62.1682,-1.7581,-39.566,-12.692,-87.671,0.063648,77.8215,20.5699,3.84569,74.6415,63.3215,9.83768,40.6691,128.122,31.2416,42.7578,41.1095,-3.6242,33.8637,13.052,15.034,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,83,0,0.029358,0,0,0.00011,0,78.575,0.184221,0.082925,0.184243,0.00397,0,0.352269,0.006237,0,0.022533,0.028818,0.066914,21.5132,101.05,0,0.039574,0,0,0.000153,0,99.7595,0.232318,0.101256,0.307328,0.005802,0,0.453193,0.007075,0,0.025641,0.038928,0.078911,0,101.05,0,0.063206,0,0,0.000135,0,32.7671,0.049596,0.022683,0.190381,0.003779,0,0.312207,0.001297,0,0.004807,0.015637,0.018555,66.5506,0,0.094607,0.000001,0,0.000405,0,98.0917,0.14847,0.033952,0.569925,0.005656,0,0.934624,0.003882,0,0.014389,0.04681,0.055548,0,100,2,O,0,0.001899,0,0,0.000004,0,0.984727,0.00149,0.000682,0.005721,0.000114,0,0.009383,0.000039,0,0.000144,0.00047,0.000558,2,0.006985,0.019207,0.077728,0.006296,0.002248,0.012639,0.007878,0.038514,0.032028,0.01709,0.011426,0.013482,0.01246,0.006996,0.060656,0.00739,0.011304,0.02823,-37.184,47.3246,-1.7774,-94.829,1446.51,-152.41,0.063619,15.2655,27.7439,7.99108,204.512,-57.872,3.26292,79.2136,-144.92,23.3221,28.4259,30.2331,-3.6292,33.8634,13.052,20.0335,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,84,0,0.003137,0,0,0,0,78.547,0.107921,0.067017,0.14296,0,0.008582,0.408425,0,0.023891,0.028282,0.034281,0.060925,21.4648,100.897,0,0.004228,0,0,0,0,99.724,0.136098,0.081832,0.238465,0,0.011082,0.525437,0,0.025736,0.032183,0.046307,0.071848,0,100.897,0,0.006768,0,0,0,0,32.8292,0.02912,0.018373,0.148055,0,0.00775,0.362791,0,0.00572,0.006046,0.018643,0.016933,66.5506,0,0.010121,0.000001,0,0,0,98.1828,0.087089,0.027474,0.44279,0,0.023177,1.08501,0,0.017108,0.018083,0.055756,0.050641,0,100,2,O,0,0.000203,0,0,0,0,0.986592,0.000875,0.000552,0.004449,0,0.000233,0.010903,0,0.000172,0.000182,0.00056,0.000509,2,0.006987,0.01922,0.077736,0.006299,0.002248,0.012637,0.007879,0.038521,0.032034,0.017095,0.011428,0.013485,0.012463,0.006996,0.060662,0.00739,0.011302,0.028235,-566.28,433.948,-1.7945,-340.24,-91.147,-168.2,0.063639,25.7057,34.2203,9.91762,-895.55,112.125,2.90623,-274.03,177.918,18.6271,24.005,33.166,-3.6342,33.8631,13.052,25.0527,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,85,0.003352,0.008214,0,0,0.000053,0,78.5036,0.083019,0.117265,0.319343,0,0.003821,0.221679,0.007074,0,0.016233,0.015153,0.087209,21.5217,100.908,0.007172,0.011072,0,0,0.000075,0,99.669,0.104693,0.143188,0.532682,0,0.004934,0.28519,0.008025,0,0.018472,0.020469,0.102844,-0.00001,100.908,0.00591,0.017691,0,0,0.000066,0,32.7505,0.022359,0.032089,0.330114,0,0.003444,0.196548,0.001472,0,0.003464,0.008225,0.024193,66.6039,0.017711,0.026507,0.000001,0,0.000198,0,98.1401,0.067001,0.048079,0.989219,0,0.01032,0.588974,0.00441,0,0.01038,0.024648,0.072496,0,100,2,O,0.000177,0.000531,0,0,0.000002,0,0.98344,0.000671,0.000964,0.009913,0,0.000103,0.005902,0.000044,0,0.000104,0.000247,0.000726,2,0.006986,0.019204,0.077773,0.006295,0.002247,0.012634,0.007876,0.038516,0.032029,0.017091,0.01143,0.013484,0.012462,0.006994,0.060658,0.007388,0.011301,0.028231,147.582,166.269,-1.856,-38.691,2969.16,-96.784,0.063652,33.2595,19.7626,5.13359,-160.5,250.484,4.7726,69.8403,-87.463,32.2797,53.3968,23.3068,-3.6391,33.8628,13.0515,29.9612,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,86,0.005037,0.039566,0,0,0,0,78.7914,0.073234,0.07993,0.330727,0.005335,0,0.103021,0.008075,0,0.021953,0.016708,0.070576,21.5748,101.12,0.010776,0.053334,0,0,0,0,100.034,0.092354,0.097599,0.551672,0.007798,0,0.132537,0.009161,0,0.024981,0.022569,0.083229,0.000006,101.12,0.008858,0.085006,0,0,0,0,32.7894,0.019675,0.021818,0.341037,0.005068,0,0.091116,0.001676,0,0.004673,0.009047,0.01953,66.6032,0.026568,0.12748,0.000001,0,0,0,98.3457,0.059012,0.03272,1.02288,0.0076,0,0.273287,0.005026,0,0.014016,0.027135,0.058578,0,100,2,O,0.000266,0.002553,0,0,0,0,0.984619,0.000591,0.000655,0.010241,0.000152,0,0.002736,0.00005,0,0.00014,0.000272,0.000586,2,0.006985,0.019204,0.07782,0.006297,0.002247,0.012632,0.007876,0.038518,0.032031,0.017096,0.011434,0.013487,0.012464,0.006994,0.06066,0.007387,0.011299,0.028232,98.3632,35.3937,-1.7419,-31.881,-18.945,-58.664,0.063535,37.6373,28.769,4.99858,152.551,-142.57,9.3894,61.2038,-123.92,23.9248,48.4853,28.6921,-3.6441,33.8625,13.0515,34.9606,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,87,0,0.022082,0,0,0,0,78.6462,0.053365,0.081503,0.301138,0.005379,0.015282,0.236995,0.00634,0.007951,0.015246,0.023736,0.060252,21.5421,101.018,0,0.029767,0,0,0,0,99.85,0.067298,0.09952,0.502316,0.007861,0.019732,0.304893,0.007192,0.008565,0.017349,0.032063,0.071055,0,101.018,0,0.047495,0,0,0,0,32.7649,0.014353,0.022272,0.310867,0.005115,0.013754,0.209838,0.001317,0.001898,0.003249,0.012867,0.016692,66.5754,0,0.071128,0.000001,0,0,0,98.1362,0.042989,0.033355,0.931098,0.00766,0.041197,0.628499,0.003945,0.005684,0.009731,0.038538,0.049995,0,100,2,O,0,0.001427,0,0,0,0,0.984294,0.000431,0.000669,0.009339,0.000154,0.000413,0.006304,0.00004,0.000057,0.000098,0.000387,0.000501,2,0.006984,0.019206,0.077753,0.006297,0.002247,0.012628,0.007874,0.038513,0.032027,0.017089,0.011429,0.013484,0.012462,0.006992,0.060654,0.007386,0.011296,0.028229,-104.52,62.5528,-1.7898,-71.058,-20.403,-178.16,0.063593,51.4531,28.2197,5.37274,151.259,63.4308,4.51157,77.8829,534.135,34.3452,34.335,33.5248,-3.6491,33.8621,13.0515,39.9867,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
Bischoff_b1,2,40,20,40,0,88,0.003503,0.043234,0,0,0,0,78.148,0.074254,0.098023,0.610285,0.017466,0.000844,0.057262,0,0,0.016599,0.020209,0.052206,21.5807,100.723,0.007493,0.058279,0,0,0,0,99.2175,0.093641,0.119691,1.01799,0.025528,0.00109,0.073667,0,0,0.018888,0.027298,0.061566,-0.00001,100.723,0.006159,0.092874,0,0,0,0,32.5167,0.019946,0.026753,0.629216,0.016589,0.000759,0.050637,0,0,0.003533,0.010941,0.014445,66.6114,0.018484,0.139364,0.000001,0,0,0,97.5878,0.059862,0.040145,1.88838,0.024893,0.002277,0.151969,0,0,0.010603,0.032835,0.043351,0,100,2,O,0.000185,0.002789,0,0,0,0,0.97631,0.000599,0.000803,0.018892,0.000498,0.000023,0.00152,0,0,0.000106,0.000328,0.000434,2,0.006975,0.01917,0.077713,0.006292,0.002245,0.012616,0.007867,0.038497,0.032013,0.017071,0.011426,0.013477,0.012457,0.006986,0.060639,0.00738,0.011289,0.028216,141.046,32.4285,-1.7242,-34.998,-29.758,-111.3,0.063797,37.1073,23.5357,3.19508,47.2865,1129.74,16.2306,-497.01,-411,31.5409,40.1777,38.6021,-3.6541,33.8618,13.0515,44.985,334,334,123,319,123,303,301,332,333,140,117,335,126,538,120,2011,503,914,Jadeite,Jadeite,Fluorite,Corundum,Fluorite,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Cr2O3,Mn,Magnetite,U,Crocoite,ThO2,Zr,Hf
