"  SAMPLE"	"  NUMBER"	" TAKEOFF"	"KILOVOLT"	" CURRENT"	"BEAMSIZE"	"    LINE"	"  Si WT%"	"  Na WT%"	"   F WT%"	"  Al WT%"	"  Ca WT%"	"  Nb WT%"	"  Sn WT%"	"   W WT%"	"  Ta WT%"	"  Ti WT%"	"  Cr WT%"	"  Mn WT%"	"  Fe WT%"	"   U WT%"	"  Pb WT%"	"  Th WT%"	"  Zr WT%"	"  Hf WT%"	"   O WT%"	"   TOTAL"	"    SiO2"	"    Na2O"	"       F"	"   Al2O3"	"     CaO"	"   Nb2O5"	"    SnO2"	"     WO3"	"   Ta2O5"	"    TiO2"	"   Cr2O3"	"     MnO"	"     FeO"	"     UO2"	"     PbO"	"    ThO2"	"    ZrO2"	"    HfO2"	"       O"	"   TOTAL"	"  Si AT%"	"  Na AT%"	"   F AT%"	"  Al AT%"	"  Ca AT%"	"  Nb AT%"	"  Sn AT%"	"   W AT%"	"  Ta AT%"	"  Ti AT%"	"  Cr AT%"	"  Mn AT%"	"  Fe AT%"	"   U AT%"	"  Pb AT%"	"  Th AT%"	"  Zr AT%"	"  Hf AT%"	"   O AT%"	"Si OXMOL%"	"Na OXMOL%"	"F OXMOL%"	"Al OXMOL%"	"Ca OXMOL%"	"Nb OXMOL%"	"Sn OXMOL%"	"W OXMOL%"	"Ta OXMOL%"	"Ti OXMOL%"	"Cr OXMOL%"	"Mn OXMOL%"	"Fe OXMOL%"	"U OXMOL%"	"Pb OXMOL%"	"Th OXMOL%"	"Zr OXMOL%"	"Hf OXMOL%"	"O OXMOL%"	"   TOTAL"	" FORMULA"	"   BASIS"	"Si FORMULA"	"Na FORMULA"	"F FORMULA"	"Al FORMULA"	"Ca FORMULA"	"Nb FORMULA"	"Sn FORMULA"	"W FORMULA"	"Ta FORMULA"	"Ti FORMULA"	"Cr FORMULA"	"Mn FORMULA"	"Fe FORMULA"	"U FORMULA"	"Pb FORMULA"	"Th FORMULA"	"Zr FORMULA"	"Hf FORMULA"	"O FORMULA"	"Si CDL99"	"Na CDL99"	" F CDL99"	"Al CDL99"	"Ca CDL99"	"Nb CDL99"	"Sn CDL99"	" W CDL99"	"Ta CDL99"	"Ti CDL99"	"Cr CDL99"	"Mn CDL99"	"Fe CDL99"	" U CDL99"	"Pb CDL99"	"Th CDL99"	"Zr CDL99"	"Hf CDL99"	"Si %ERR "	"Na %ERR "	" F %ERR "	"Al %ERR "	"Ca %ERR "	"Nb %ERR "	"Sn %ERR "	" W %ERR "	"Ta %ERR "	"Ti %ERR "	"Cr %ERR "	"Mn %ERR "	"Fe %ERR "	" U %ERR "	"Pb %ERR "	"Th %ERR "	"Zr %ERR "	"Hf %ERR "	"   X-POS"	"   Y-POS"	"   Z-POS"	" RELDIST"	"Si STD_NUM"	"Na STD_NUM"	"F STD_NUM"	"Al STD_NUM"	"Ca STD_NUM"	"Nb STD_NUM"	"Sn STD_NUM"	"W STD_NUM"	"Ta STD_NUM"	"Ti STD_NUM"	"Cr STD_NUM"	"Mn STD_NUM"	"Fe STD_NUM"	"U STD_NUM"	"Pb STD_NUM"	"Th STD_NUM"	"Zr STD_NUM"	"Hf STD_NUM"	"Si STD_NAM"	"Na STD_NAM"	"F STD_NAM"	"Al STD_NAM"	"Ca STD_NAM"	"Nb STD_NAM"	"Sn STD_NAM"	"W STD_NAM"	"Ta STD_NAM"	"Ti STD_NAM"	"Cr STD_NAM"	"Mn STD_NAM"	"Fe STD_NAM"	"U STD_NAM"	"Pb STD_NAM"	"Th STD_NAM"	"Zr STD_NAM"	"Hf STD_NAM"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	79	 .003592	 .044090	 .000000	 .000000	 .000000	 .000000	 78.7571	 .077362	 .068645	 .239615	 .022737	 .000000	 .038471	 .014109	 .000000	 .019671	 .010751	 .076559	 21.4922	 100.865	 .007685	 .059432	 .000000	 .000000	 .000000	 .000000	 99.9908	 .097560	 .083819	 .399691	 .033231	 .000000	 .049493	 .016005	 .000000	 .022384	 .014523	 .090285	 .000006	 100.865	 .006342	 .095105	 .000000	 .000000	 .000000	 .000000	 32.9065	 .020868	 .018813	 .248076	 .021685	 .000000	 .034162	 .002939	 .000000	 .004204	 .005845	 .021271	 66.6142	 .019036	 .142723	 .000001	 .000000	 .000000	 .000000	 98.7649	 .062632	 .028233	 .744570	 .032543	 .000000	 .102534	 .008822	 .000000	 .012618	 .017543	 .063842	 .000000	 100.000	 2.00000	O	 .000190	 .002855	 .000000	 .000000	 .000000	 .000000	 .987972	 .000627	 .000565	 .007448	 .000651	 .000000	 .001026	 .000088	 .000000	 .000126	 .000175	 .000639	 2.00000	 .006985	 .019206	 .077861	 .006295	 .002247	 .012631	 .007875	 .038507	 .032023	 .017098	 .011434	 .013485	 .012462	 .006993	 .060638	 .007386	 .011296	 .028225	 137.755	 31.8764	 -1.8354	 -69.644	 -38.186	 -343.00	 .063515	 35.6460	 33.4091	 6.44161	 36.5866	 -42.004	 23.7546	 35.1124	 -120.16	 26.6712	 74.9310	 26.4788	 -3.6092	 33.8647	 13.0520	 .000000	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	80	 .005894	 .019233	 .000000	 .000000	 .000000	 .000000	 78.6449	 .085320	 .080836	 .267219	 .007089	 .000000	 .149866	 .008742	 .045580	 .018921	 .035693	 .076769	 21.5153	 100.961	 .012609	 .025926	 .000000	 .000000	 .000000	 .000000	 99.8483	 .107596	 .098706	 .445737	 .010361	 .000000	 .192802	 .009917	 .049100	 .021530	 .048215	 .090532	 .000000	 100.961	 .010395	 .041439	 .000000	 .000000	 .000000	 .000000	 32.8214	 .022987	 .022129	 .276333	 .006753	 .000000	 .132924	 .001819	 .010897	 .004039	 .019382	 .021304	 66.6082	 .031163	 .062115	 .000001	 .000000	 .000000	 .000000	 98.3954	 .068914	 .033170	 .828420	 .010123	 .000000	 .398495	 .005454	 .032668	 .012109	 .058105	 .063869	 .000000	 100.000	 2.00000	O	 .000312	 .001244	 .000000	 .000000	 .000000	 .000000	 .985505	 .000690	 .000664	 .008297	 .000203	 .000000	 .003991	 .000055	 .000327	 .000121	 .000582	 .000640	 2.00000	 .006986	 .019208	 .077837	 .006296	 .002248	 .012634	 .007878	 .038517	 .032031	 .017098	 .011434	 .013487	 .012464	 .006997	 .060660	 .007390	 .011300	 .028232	 84.1364	 71.6641	 -1.7232	 -57.451	 -14.682	 -783.46	 .063591	 32.3771	 28.4510	 5.90340	 115.056	 -178.97	 6.69968	 56.5737	 93.3578	 27.7328	 23.0778	 26.4144	 -3.6142	 33.8644	 13.0520	 5.00965	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	81	 .000000	 .025206	 .000000	 .000000	 .000000	 .000000	 78.5778	 .087163	 .062476	 .264316	 .000000	 .000000	 .360890	 .007196	 .043057	 .027173	 .050140	 .058772	 21.5468	 101.111	 .000000	 .033978	 .000000	 .000000	 .000000	 .000000	 99.7632	 .109920	 .076287	 .440894	 .000000	 .000000	 .464284	 .008163	 .046382	 .030921	 .067730	 .069308	 .000002	 101.111	 .000000	 .054174	 .000000	 .000000	 .000000	 .000000	 32.7120	 .023426	 .017060	 .272652	 .000000	 .000000	 .319299	 .001494	 .010268	 .005786	 .027159	 .016270	 66.5404	 .000000	 .081041	 .000001	 .000000	 .000000	 .000000	 97.8699	 .070086	 .025521	 .815738	 .000000	 .000000	 .955297	 .004469	 .030721	 .017312	 .081257	 .048676	 .000000	 100.000	 2.00000	O	 .000000	 .001628	 .000000	 .000000	 .000000	 .000000	 .983224	 .000704	 .000513	 .008195	 .000000	 .000000	 .009597	 .000045	 .000309	 .000174	 .000816	 .000489	 2.00000	 .006981	 .019200	 .077679	 .006295	 .002246	 .012626	 .007874	 .038503	 .032019	 .017082	 .011423	 .013479	 .012457	 .006992	 .060640	 .007386	 .011294	 .028222	 -64.974	 54.9205	 -1.7286	 -73.604	 -32.390	 -82.441	 .063612	 31.6921	 36.6551	 5.95064	 -299.92	 -115.72	 3.20085	 68.6409	 98.7851	 19.3672	 16.6241	 34.3485	 -3.6192	 33.8641	 13.0520	 10.0079	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	82	 .000000	 .022197	 .000000	 .000000	 .000000	 .000000	 78.4563	 .035146	 .112492	 .469664	 .010975	 .015302	 .097850	 .012163	 .033177	 .016762	 .018967	 .048984	 21.5676	 100.918	 .000000	 .029921	 .000000	 .000000	 .000000	 .000000	 99.6088	 .044322	 .137360	 .783428	 .016041	 .019758	 .125884	 .013798	 .035739	 .019074	 .025621	 .057766	  .00000	 100.918	 .000000	 .047713	 .000000	 .000000	 .000000	 .000000	 32.6657	 .009447	 .030722	 .484541	 .010431	 .013764	 .086584	 .002525	 .007913	 .003570	 .010275	 .013562	 66.6133	 .000000	 .071551	 .000001	 .000000	 .000000	 .000000	 97.9707	 .028333	 .046070	 1.45323	 .015642	 .041282	 .259683	 .007573	 .023733	 .010707	 .030817	 .040675	 .000000	 100.000	 2.00000	O	 .000000	 .001433	 .000000	 .000000	 .000000	 .000000	 .980757	 .000284	 .000922	 .014548	 .000313	 .000413	 .002600	 .000076	 .000238	 .000107	 .000309	 .000407	 2.00000	 .006978	 .019185	 .077758	 .006292	 .002245	 .012619	 .007870	 .038495	 .032012	 .017079	 .011426	 .013478	 .012457	 .006988	 .060631	 .007382	 .011289	 .028216	 -992.74	 62.1682	 -1.7581	 -39.566	 -12.692	 -87.671	 .063648	 77.8215	 20.5699	 3.84569	 74.6415	 63.3215	 9.83768	 40.6691	 128.122	 31.2416	 42.7578	 41.1095	 -3.6242	 33.8637	 13.0520	 15.0340	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	83	 .000000	 .029358	 .000000	 .000000	 .000110	 .000000	 78.5750	 .184221	 .082925	 .184243	 .003970	 .000000	 .352269	 .006237	 .000000	 .022533	 .028818	 .066914	 21.5132	 101.050	 .000000	 .039574	 .000000	 .000000	 .000153	 .000000	 99.7595	 .232318	 .101256	 .307328	 .005802	 .000000	 .453193	 .007075	 .000000	 .025641	 .038928	 .078911	  .00000	 101.050	 .000000	 .063206	 .000000	 .000000	 .000135	 .000000	 32.7671	 .049596	 .022683	 .190381	 .003779	 .000000	 .312207	 .001297	 .000000	 .004807	 .015637	 .018555	 66.5506	 .000000	 .094607	 .000001	 .000000	 .000405	 .000000	 98.0917	 .148470	 .033952	 .569925	 .005656	 .000000	 .934624	 .003882	 .000000	 .014389	 .046810	 .055548	 .000000	 100.000	 2.00000	O	 .000000	 .001899	 .000000	 .000000	 .000004	 .000000	 .984727	 .001490	 .000682	 .005721	 .000114	 .000000	 .009383	 .000039	 .000000	 .000144	 .000470	 .000558	 2.00000	 .006985	 .019207	 .077728	 .006296	 .002248	 .012639	 .007878	 .038514	 .032028	 .017090	 .011426	 .013482	 .012460	 .006996	 .060656	 .007390	 .011304	 .028230	 -37.184	 47.3246	 -1.7774	 -94.829	 1446.51	 -152.41	 .063619	 15.2655	 27.7439	 7.99108	 204.512	 -57.872	 3.26292	 79.2136	 -144.92	 23.3221	 28.4259	 30.2331	 -3.6292	 33.8634	 13.0520	 20.0335	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	84	 .000000	 .003137	 .000000	 .000000	 .000000	 .000000	 78.5470	 .107921	 .067017	 .142960	 .000000	 .008582	 .408425	 .000000	 .023891	 .028282	 .034281	 .060925	 21.4648	 100.897	 .000000	 .004228	 .000000	 .000000	 .000000	 .000000	 99.7240	 .136098	 .081832	 .238465	 .000000	 .011082	 .525437	 .000000	 .025736	 .032183	 .046307	 .071848	  .00000	 100.897	 .000000	 .006768	 .000000	 .000000	 .000000	 .000000	 32.8292	 .029120	 .018373	 .148055	 .000000	 .007750	 .362791	 .000000	 .005720	 .006046	 .018643	 .016933	 66.5506	 .000000	 .010121	 .000001	 .000000	 .000000	 .000000	 98.1828	 .087089	 .027474	 .442790	 .000000	 .023177	 1.08501	 .000000	 .017108	 .018083	 .055756	 .050641	 .000000	 100.000	 2.00000	O	 .000000	 .000203	 .000000	 .000000	 .000000	 .000000	 .986592	 .000875	 .000552	 .004449	 .000000	 .000233	 .010903	 .000000	 .000172	 .000182	 .000560	 .000509	 2.00000	 .006987	 .019220	 .077736	 .006299	 .002248	 .012637	 .007879	 .038521	 .032034	 .017095	 .011428	 .013485	 .012463	 .006996	 .060662	 .007390	 .011302	 .028235	 -566.28	 433.948	 -1.7945	 -340.24	 -91.147	 -168.20	 .063639	 25.7057	 34.2203	 9.91762	 -895.55	 112.125	 2.90623	 -274.03	 177.918	 18.6271	 24.0050	 33.1660	 -3.6342	 33.8631	 13.0520	 25.0527	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	85	 .003352	 .008214	 .000000	 .000000	 .000053	 .000000	 78.5036	 .083019	 .117265	 .319343	 .000000	 .003821	 .221679	 .007074	 .000000	 .016233	 .015153	 .087209	 21.5217	 100.908	 .007172	 .011072	 .000000	 .000000	 .000075	 .000000	 99.6690	 .104693	 .143188	 .532682	 .000000	 .004934	 .285190	 .008025	 .000000	 .018472	 .020469	 .102844	 -.00001	 100.908	 .005910	 .017691	 .000000	 .000000	 .000066	 .000000	 32.7505	 .022359	 .032089	 .330114	 .000000	 .003444	 .196548	 .001472	 .000000	 .003464	 .008225	 .024193	 66.6039	 .017711	 .026507	 .000001	 .000000	 .000198	 .000000	 98.1401	 .067001	 .048079	 .989219	 .000000	 .010320	 .588974	 .004410	 .000000	 .010380	 .024648	 .072496	 .000000	 100.000	 2.00000	O	 .000177	 .000531	 .000000	 .000000	 .000002	 .000000	 .983440	 .000671	 .000964	 .009913	 .000000	 .000103	 .005902	 .000044	 .000000	 .000104	 .000247	 .000726	 2.00000	 .006986	 .019204	 .077773	 .006295	 .002247	 .012634	 .007876	 .038516	 .032029	 .017091	 .011430	 .013484	 .012462	 .006994	 .060658	 .007388	 .011301	 .028231	 147.582	 166.269	 -1.8560	 -38.691	 2969.16	 -96.784	 .063652	 33.2595	 19.7626	 5.13359	 -160.50	 250.484	 4.77260	 69.8403	 -87.463	 32.2797	 53.3968	 23.3068	 -3.6391	 33.8628	 13.0515	 29.9612	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	86	 .005037	 .039566	 .000000	 .000000	 .000000	 .000000	 78.7914	 .073234	 .079930	 .330727	 .005335	 .000000	 .103021	 .008075	 .000000	 .021953	 .016708	 .070576	 21.5748	 101.120	 .010776	 .053334	 .000000	 .000000	 .000000	 .000000	 100.034	 .092354	 .097599	 .551672	 .007798	 .000000	 .132537	 .009161	 .000000	 .024981	 .022569	 .083229	 .000006	 101.120	 .008858	 .085006	 .000000	 .000000	 .000000	 .000000	 32.7894	 .019675	 .021818	 .341037	 .005068	 .000000	 .091116	 .001676	 .000000	 .004673	 .009047	 .019530	 66.6032	 .026568	 .127480	 .000001	 .000000	 .000000	 .000000	 98.3457	 .059012	 .032720	 1.02288	 .007600	 .000000	 .273287	 .005026	 .000000	 .014016	 .027135	 .058578	 .000000	 100.000	 2.00000	O	 .000266	 .002553	 .000000	 .000000	 .000000	 .000000	 .984619	 .000591	 .000655	 .010241	 .000152	 .000000	 .002736	 .000050	 .000000	 .000140	 .000272	 .000586	 2.00000	 .006985	 .019204	 .077820	 .006297	 .002247	 .012632	 .007876	 .038518	 .032031	 .017096	 .011434	 .013487	 .012464	 .006994	 .060660	 .007387	 .011299	 .028232	 98.3632	 35.3937	 -1.7419	 -31.881	 -18.945	 -58.664	 .063535	 37.6373	 28.7690	 4.99858	 152.551	 -142.57	 9.38940	 61.2038	 -123.92	 23.9248	 48.4853	 28.6921	 -3.6441	 33.8625	 13.0515	 34.9606	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	87	 .000000	 .022082	 .000000	 .000000	 .000000	 .000000	 78.6462	 .053365	 .081503	 .301138	 .005379	 .015282	 .236995	 .006340	 .007951	 .015246	 .023736	 .060252	 21.5421	 101.018	 .000000	 .029767	 .000000	 .000000	 .000000	 .000000	 99.8500	 .067298	 .099520	 .502316	 .007861	 .019732	 .304893	 .007192	 .008565	 .017349	 .032063	 .071055	 .000000	 101.018	 .000000	 .047495	 .000000	 .000000	 .000000	 .000000	 32.7649	 .014353	 .022272	 .310867	 .005115	 .013754	 .209838	 .001317	 .001898	 .003249	 .012867	 .016692	 66.5754	 .000000	 .071128	 .000001	 .000000	 .000000	 .000000	 98.1362	 .042989	 .033355	 .931098	 .007660	 .041197	 .628499	 .003945	 .005684	 .009731	 .038538	 .049995	 .000000	 100.000	 2.00000	O	 .000000	 .001427	 .000000	 .000000	 .000000	 .000000	 .984294	 .000431	 .000669	 .009339	 .000154	 .000413	 .006304	 .000040	 .000057	 .000098	 .000387	 .000501	 2.00000	 .006984	 .019206	 .077753	 .006297	 .002247	 .012628	 .007874	 .038513	 .032027	 .017089	 .011429	 .013484	 .012462	 .006992	 .060654	 .007386	 .011296	 .028229	 -104.52	 62.5528	 -1.7898	 -71.058	 -20.403	 -178.16	 .063593	 51.4531	 28.2197	 5.37274	 151.259	 63.4308	 4.51157	 77.8829	 534.135	 34.3452	 34.3350	 33.5248	 -3.6491	 33.8621	 13.0515	 39.9867	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
"Bischoff_b1"	2	 40.0000	 20.0000	 40.0000	 .000000	88	 .003503	 .043234	 .000000	 .000000	 .000000	 .000000	 78.1480	 .074254	 .098023	 .610285	 .017466	 .000844	 .057262	 .000000	 .000000	 .016599	 .020209	 .052206	 21.5807	 100.723	 .007493	 .058279	 .000000	 .000000	 .000000	 .000000	 99.2175	 .093641	 .119691	 1.01799	 .025528	 .001090	 .073667	 .000000	 .000000	 .018888	 .027298	 .061566	 -.00001	 100.723	 .006159	 .092874	 .000000	 .000000	 .000000	 .000000	 32.5167	 .019946	 .026753	 .629216	 .016589	 .000759	 .050637	 .000000	 .000000	 .003533	 .010941	 .014445	 66.6114	 .018484	 .139364	 .000001	 .000000	 .000000	 .000000	 97.5878	 .059862	 .040145	 1.88838	 .024893	 .002277	 .151969	 .000000	 .000000	 .010603	 .032835	 .043351	 .000000	 100.000	 2.00000	O	 .000185	 .002789	 .000000	 .000000	 .000000	 .000000	 .976310	 .000599	 .000803	 .018892	 .000498	 .000023	 .001520	 .000000	 .000000	 .000106	 .000328	 .000434	 2.00000	 .006975	 .019170	 .077713	 .006292	 .002245	 .012616	 .007867	 .038497	 .032013	 .017071	 .011426	 .013477	 .012457	 .006986	 .060639	 .007380	 .011289	 .028216	 141.046	 32.4285	 -1.7242	 -34.998	 -29.758	 -111.30	 .063797	 37.1073	 23.5357	 3.19508	 47.2865	 1129.74	 16.2306	 -497.01	 -411.00	 31.5409	 40.1777	 38.6021	 -3.6541	 33.8618	 13.0515	 44.9850	334	334	123	319	123	303	301	332	333	140	117	335	126	538	120	2011	503	914	"Jadeite"	"Jadeite"	"Fluorite"	"Corundum"	"Fluorite"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Cr2O3"	"Mn"	"Magnetite"	"U"	"Crocoite"	"ThO2"	"Zr"	"Hf"
