"  SAMPLE"	"  NUMBER"	" TAKEOFF"	"KILOVOLT"	" CURRENT"	"BEAMSIZE"	"    LINE"	"  Si WT%"	"  Na WT%"	"  Al WT%"	"  Nb WT%"	"  Sn WT%"	"   W WT%"	"  Ta WT%"	"  Ti WT%"	"  Mn WT%"	"  Fe WT%"	"  Zr WT%"	"   O WT%"	"   TOTAL"	"    SiO2"	"    Na2O"	"   Al2O3"	"   Nb2O5"	"    SnO2"	"     WO3"	"   Ta2O5"	"    TiO2"	"     MnO"	"     FeO"	"    ZrO2"	"       O"	"   TOTAL"	"  Si AT%"	"  Na AT%"	"  Al AT%"	"  Nb AT%"	"  Sn AT%"	"   W AT%"	"  Ta AT%"	"  Ti AT%"	"  Mn AT%"	"  Fe AT%"	"  Zr AT%"	"   O AT%"	"Si OXMOL%"	"Na OXMOL%"	"Al OXMOL%"	"Nb OXMOL%"	"Sn OXMOL%"	"W OXMOL%"	"Ta OXMOL%"	"Ti OXMOL%"	"Mn OXMOL%"	"Fe OXMOL%"	"Zr OXMOL%"	"O OXMOL%"	"   TOTAL"	" FORMULA"	"   BASIS"	"Si FORMULA"	"Na FORMULA"	"Al FORMULA"	"Nb FORMULA"	"Sn FORMULA"	"W FORMULA"	"Ta FORMULA"	"Ti FORMULA"	"Mn FORMULA"	"Fe FORMULA"	"Zr FORMULA"	"O FORMULA"	"Si CDL99"	"Na CDL99"	"Al CDL99"	"Nb CDL99"	"Sn CDL99"	" W CDL99"	"Ta CDL99"	"Ti CDL99"	"Mn CDL99"	"Fe CDL99"	"Zr CDL99"	"SiO2 CDL99"	"Na2O CDL99"	"Al2O3 CDL99"	"Nb2O5 CDL99"	"SnO2 CDL99"	"WO3 CDL99"	"Ta2O5 CDL99"	"TiO2 CDL99"	"MnO CDL99"	"FeO CDL99"	"ZrO2 CDL99"	"Si %ERR "	"Na %ERR "	"Al %ERR "	"Nb %ERR "	"Sn %ERR "	" W %ERR "	"Ta %ERR "	"Ti %ERR "	"Mn %ERR "	"Fe %ERR "	"Zr %ERR "	"   X-POS"	"   Y-POS"	"   Z-POS"	" RELDIST"	"Si STD_NUM"	"Na STD_NUM"	"Al STD_NUM"	"Nb STD_NUM"	"Sn STD_NUM"	"W STD_NUM"	"Ta STD_NUM"	"Ti STD_NUM"	"Mn STD_NUM"	"Fe STD_NUM"	"Zr STD_NUM"	"Si STD_NAM"	"Na STD_NAM"	"Al STD_NAM"	"Nb STD_NAM"	"Sn STD_NAM"	"W STD_NAM"	"Ta STD_NAM"	"Ti STD_NAM"	"Mn STD_NAM"	"Fe STD_NAM"	"Zr STD_NAM"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	58	 .000000	 .003394	 .000000	 .000000	 78.2359	 .000000	 .000000	 .064635	 .000000	 .000000	 .000000	 21.1375	 99.4415	 .000000	 .004575	 .000000	 .000000	 99.3291	 .000000	 .000000	 .107815	 .000000	 .000000	 .000000	 .000002	 99.4415	 .000000	 .007450	 .000000	 .000000	 33.2615	 .000000	 .000000	 .068090	 .000000	 .000000	 .000000	 66.6629	 .000000	 .011175	 .000000	 .000000	 99.7846	 .000000	 .000000	 .204269	 .000000	 .000000	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000224	 .000000	 .000000	 .997901	 .000000	 .000000	 .002043	 .000000	 .000000	 .000000	 2.00000	 .011765	 .018069	 .005641	 .013366	 .016511	 .039392	 .032878	 .008262	 .014166	 .013051	 .012324	 .025169	 .024357	 .010659	 .019120	 .020963	 .049677	 .040146	 .013782	 .018292	 .016791	 .016647	 -388.00	 377.305	 -20.557	 -73.492	 .117576	 -56.509	 -49.532	 9.31554	 -80.574	 -390.65	 -156.38	 -5.6030	 -35.701	 13.0880	 .000000	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	59	 .000000	 .019013	 .000000	 .003249	 78.1492	 .000000	 .000000	 .173790	 .000000	 .017939	 .002240	 21.1998	 99.5652	 .000000	 .025629	 .000000	 .004648	 99.2190	 .000000	 .000000	 .289891	 .000000	 .023078	 .003025	  .00000	 99.5652	 .000000	 .041595	 .000000	 .001759	 33.1160	 .000000	 .000000	 .182480	 .000000	 .016155	 .001235	 66.6408	 .000000	 .062384	 .000000	 .002638	 99.3354	 .000000	 .000000	 .547371	 .000000	 .048460	 .003704	 .000000	 100.000	 2.00000	O	 .000000	 .001248	 .000000	 .000053	 .993866	 .000000	 .000000	 .005477	 .000000	 .000485	 .000037	 2.00000	 .011751	 .018054	 .005637	 .013357	 .016497	 .039379	 .032866	 .008254	 .014158	 .013046	 .012315	 .025139	 .024336	 .010651	 .019108	 .020945	 .049660	 .040131	 .013768	 .018282	 .016783	 .016636	 -443.00	 68.1628	 -25.912	 291.155	 .117643	 -931.34	 -35.301	 3.66235	 -121.50	 52.1947	 388.973	 -5.5820	 -35.691	 13.0880	 23.2648	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	60	 .000000	 .000000	 .000000	 .000000	 78.1505	 .000000	 .000000	 .182257	 .000000	 .044287	 .020569	 21.2118	 99.6094	 .000000	 .000000	 .000000	 .000000	 99.2206	 .000000	 .000000	 .304015	 .000000	 .056975	 .027785	 .000000	 99.6094	 .000000	 .000000	 .000000	 .000000	 33.1041	 .000000	 .000000	 .191299	 .000000	 .039870	 .011337	 66.6534	 .000000	 .000000	 .000000	 .000000	 99.2728	 .000000	 .000000	 .573669	 .000000	 .119561	 .033997	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000000	 .993322	 .000000	 .000000	 .005740	 .000000	 .001196	 .000340	 2.00000	 .011750	 .018056	 .005637	 .013358	 .016499	 .039383	 .032869	 .008254	 .014159	 .013047	 .012316	 .025138	 .024340	 .010651	 .019109	 .020947	 .049665	 .040135	 .013768	 .018283	 .016784	 .016636	 -71.131	 -58.202	 -22.218	 -586.63	 .117660	 -45.453	 -39.545	 3.50673	 -73.802	 21.6290	 42.9771	 -5.6030	 -35.681	 13.0880	 46.5378	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	61	 .001910	 .000000	 .000000	 .002712	 78.0138	 .000000	 .000000	 .219536	 .000000	 .065915	 .007191	 21.2047	 99.5157	 .004087	 .000000	 .000000	 .003880	 99.0470	 .000000	 .000000	 .366199	 .000000	 .084800	 .009714	  .00000	 99.5157	 .003420	 .000000	 .000000	 .001468	 33.0542	 .000000	 .000000	 .230483	 .000000	 .059355	 .003964	 66.6471	 .010256	 .000000	 .000000	 .002201	 99.1066	 .000000	 .000000	 .691060	 .000000	 .177963	 .011886	 .000000	 100.000	 2.00000	O	 .000103	 .000000	 .000000	 .000044	 .991916	 .000000	 .000000	 .006917	 .000000	 .001781	 .000119	 2.00000	 .011745	 .018052	 .005636	 .013355	 .016493	 .039378	 .032865	 .008251	 .014156	 .013044	 .012313	 .025127	 .024334	 .010648	 .019105	 .020940	 .049659	 .040130	 .013764	 .018279	 .016782	 .016633	 427.816	 -94.940	 -32.026	 348.578	 .117762	 -90.139	 -33.667	 2.96251	 -120.77	 14.7926	 121.609	 -5.6030	 -35.671	 13.0880	 56.5285	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	62	 .000000	 .000174	 .000000	 .051151	 77.5663	 .000000	 .000000	 .383296	 .001657	 .084621	 .016452	 21.2213	 99.3250	 .000000	 .000234	 .000000	 .073174	 98.4790	 .000000	 .000000	 .639360	 .002140	 .108865	 .022224	  .00000	 99.3250	 .000000	 .000380	 .000000	 .027665	 32.8380	 .000000	 .000000	 .402083	 .001515	 .076137	 .009063	 66.6452	 .000000	 .000569	 .000000	 .041488	 98.4919	 .000000	 .000000	 1.20598	 .004545	 .228360	 .027182	 .000000	 100.000	 2.00000	O	 .000000	 .000011	 .000000	 .000830	 .985456	 .000000	 .000000	 .012066	 .000045	 .002285	 .000272	 2.00000	 .011723	 .018029	 .005628	 .013342	 .016474	 .039358	 .032846	 .008239	 .014145	 .013036	 .012300	 .025079	 .024303	 .010635	 .019086	 .020916	 .049633	 .040107	 .013744	 .018265	 .016771	 .016614	 -71.474	 7338.97	 -47.271	 19.1542	 .118120	 -40.978	 -31.161	 1.82032	 604.255	 11.6903	 53.4898	 -5.6030	 -35.661	 13.0880	 66.5383	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	63	 .000000	 .000000	 .000000	 .008589	 78.2127	 .000000	 .000000	 .254976	 .000000	 .079398	 .019705	 21.2906	 99.8660	 .000000	 .000000	 .000000	 .012287	 99.2996	 .000000	 .000000	 .425316	 .000000	 .102145	 .026617	 .000000	 99.8660	 .000000	 .000000	 .000000	 .004630	 33.0031	 .000000	 .000000	 .266597	 .000000	 .071203	 .010819	 66.6437	 .000000	 .000000	 .000000	 .006941	 98.9479	 .000000	 .000000	 .799296	 .000000	 .213477	 .032436	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000139	 .990433	 .000000	 .000000	 .008001	 .000000	 .002137	 .000325	 2.00000	 .011739	 .018045	 .005633	 .013350	 .016487	 .039369	 .032857	 .008248	 .014152	 .013041	 .012308	 .025115	 .024324	 .010644	 .019098	 .020932	 .049648	 .040120	 .013757	 .018273	 .016777	 .016626	 -135.58	 -63.335	 -53.022	 110.543	 .117599	 -73.776	 -61.095	 2.59167	 -198.17	 12.4114	 44.8060	 -5.6030	 -35.651	 13.0880	 76.5290	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	64	 .000000	 .000000	 .000000	 .032491	 77.9263	 .000000	 .000000	 .377269	 .000000	 .089495	 .007695	 21.3041	 99.7374	 .000000	 .000000	 .000000	 .046480	 98.9361	 .000000	 .000000	 .629307	 .000000	 .115135	 .010395	 .000002	 99.7374	 .000000	 .000000	 .000000	 .017504	 32.8610	 .000000	 .000000	 .394209	 .000000	 .080206	 .004222	 66.6429	 .000000	 .000000	 .000000	 .026244	 98.5385	 .000000	 .000000	 1.18209	 .000000	 .240510	 .012661	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000525	 .986183	 .000000	 .000000	 .011831	 .000000	 .002407	 .000127	 2.00000	 .011724	 .018030	 .005629	 .013342	 .016473	 .039355	 .032844	 .008240	 .014144	 .013035	 .012300	 .025083	 .024304	 .010635	 .019086	 .020914	 .049630	 .040105	 .013744	 .018264	 .016770	 .016614	 -102.09	 -61.359	 -31.261	 29.7409	 .117821	 -72.038	 -34.525	 1.84479	 -133.50	 11.0953	 113.562	 -5.6030	 -35.641	 13.0880	 86.5273	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	65	 .000000	 .000000	 .000000	 .000000	 78.1934	 .000000	 .000000	 .151415	 .000000	 .009594	 .007731	 21.1883	 99.5505	 .000000	 .000000	 .000000	 .000000	 99.2751	 .000000	 .000000	 .252570	 .000000	 .012343	 .010443	 .000000	 99.5505	 .000000	 .000000	 .000000	 .000000	 33.1642	 .000000	 .000000	 .159128	 .000000	 .008648	 .004266	 66.6638	 .000000	 .000000	 .000000	 .000000	 99.4839	 .000000	 .000000	 .477344	 .000000	 .025942	 .012798	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000000	 .994968	 .000000	 .000000	 .004774	 .000000	 .000259	 .000128	 2.00000	 .011755	 .018059	 .005638	 .013360	 .016502	 .039383	 .032870	 .008257	 .014161	 .013048	 .012318	 .025147	 .024344	 .010653	 .019111	 .020951	 .049665	 .040136	 .013773	 .018285	 .016786	 .016639	 -80.956	 -51.216	 -21.460	 -80.610	 .117609	 -71.872	 -29.776	 4.15844	 -133.11	 96.8847	 113.205	 -5.6030	 -35.631	 13.0880	 96.5409	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	66	 .000000	 .000000	 .000000	 .016077	 78.3130	 .000000	 .000000	 .186592	 .000000	 .031072	 .025747	 21.2635	 99.8359	 .000000	 .000000	 .000000	 .022999	 99.4269	 .000000	 .000000	 .311247	 .000000	 .039974	 .034779	 .000000	 99.8359	 .000000	 .000000	 .000000	 .008680	 33.0951	 .000000	 .000000	 .195390	 .000000	 .027907	 .014157	 66.6588	 .000000	 .000000	 .000000	 .013018	 99.2747	 .000000	 .000000	 .586107	 .000000	 .083712	 .042467	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000260	 .992969	 .000000	 .000000	 .005862	 .000000	 .000837	 .000425	 2.00000	 .011748	 .018052	 .005636	 .013356	 .016497	 .039378	 .032865	 .008253	 .014157	 .013045	 .012314	 .025134	 .024334	 .010649	 .019106	 .020945	 .049658	 .040130	 .013767	 .018280	 .016782	 .016634	 -80.175	 -76.295	 -19.087	 59.4217	 .117526	 -41.742	 -50.008	 3.43198	 -70.175	 30.4788	 34.4684	 -5.6030	 -35.621	 13.0880	 106.528	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	67	 .000000	 .000000	 .000000	 .018365	 78.0969	 .000000	 .000000	 .317537	 .000000	 .078796	 .015654	 21.3038	 99.8311	 .000000	 .000000	 .000000	 .026272	 99.1526	 .000000	 .000000	 .529670	 .000000	 .101371	 .021146	 .000000	 99.8311	 .000000	 .000000	 .000000	 .009894	 32.9343	 .000000	 .000000	 .331808	 .000000	 .070621	 .008590	 66.6448	 .000000	 .000000	 .000000	 .014834	 98.7527	 .000000	 .000000	 .994919	 .000000	 .211756	 .025755	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000297	 .988354	 .000000	 .000000	 .009958	 .000000	 .002119	 .000258	 2.00000	 .011732	 .018037	 .005631	 .013346	 .016480	 .039362	 .032851	 .008244	 .014148	 .013038	 .012304	 .025099	 .024314	 .010640	 .019092	 .020923	 .049639	 .040113	 .013751	 .018269	 .016774	 .016620	 -221.95	 -57.932	 -33.548	 52.0733	 .117689	 -71.097	 -55.939	 2.13850	 -93.897	 12.4980	 56.1999	 -5.6030	 -35.611	 13.0880	 116.538	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
