  SAMPLE,  NUMBER, TAKEOFF,KILOVOLT, CURRENT,BEAMSIZE,    LINE,  Si WT%,  Na WT%,  Al WT%,  Nb WT%,  Sn WT%,   W WT%,  Ta WT%,  Ti WT%,  Mn WT%,  Fe WT%,  Zr WT%,   O WT%,   TOTAL,    SiO2,    Na2O,   Al2O3,   Nb2O5,    SnO2,     WO3,   Ta2O5,    TiO2,     MnO,     FeO,    ZrO2,       O,   TOTAL,  Si AT%,  Na AT%,  Al AT%,  Nb AT%,  Sn AT%,   W AT%,  Ta AT%,  Ti AT%,  Mn AT%,  Fe AT%,  Zr AT%,   O AT%,Si OXMOL%,Na OXMOL%,Al OXMOL%,Nb OXMOL%,Sn OXMOL%,W OXMOL%,Ta OXMOL%,Ti OXMOL%,Mn OXMOL%,Fe OXMOL%,Zr OXMOL%,O OXMOL%,   TOTAL, FORMULA,   BASIS,Si FORMULA,Na FORMULA,Al FORMULA,Nb FORMULA,Sn FORMULA,W FORMULA,Ta FORMULA,Ti FORMULA,Mn FORMULA,Fe FORMULA,Zr FORMULA,O FORMULA,Si CDL99,Na CDL99,Al CDL99,Nb CDL99,Sn CDL99, W CDL99,Ta CDL99,Ti CDL99,Mn CDL99,Fe CDL99,Zr CDL99,SiO2 CDL99,Na2O CDL99,Al2O3 CDL99,Nb2O5 CDL99,SnO2 CDL99,WO3 CDL99,Ta2O5 CDL99,TiO2 CDL99,MnO CDL99,FeO CDL99,ZrO2 CDL99,Si %ERR ,Na %ERR ,Al %ERR ,Nb %ERR ,Sn %ERR , W %ERR ,Ta %ERR ,Ti %ERR ,Mn %ERR ,Fe %ERR ,Zr %ERR ,   X-POS,   Y-POS,   Z-POS, RELDIST,Si STD_NUM,Na STD_NUM,Al STD_NUM,Nb STD_NUM,Sn STD_NUM,W STD_NUM,Ta STD_NUM,Ti STD_NUM,Mn STD_NUM,Fe STD_NUM,Zr STD_NUM,Si STD_NAM,Na STD_NAM,Al STD_NAM,Nb STD_NAM,Sn STD_NAM,W STD_NAM,Ta STD_NAM,Ti STD_NAM,Mn STD_NAM,Fe STD_NAM,Zr STD_NAM
Aberfoyle_1,2,40,20,40,0,58,0.03005,0,0,0.009164,78.3445,0,0,0.336636,0,0.056458,0.015473,21.4071,100.199,0.064287,0,0,0.013109,99.467,0,0,0.561528,0,0.072633,0.020901,0.000002,100.199,0.053298,0,0,0.004914,32.8822,0,0,0.350099,0,0.050361,0.00845,66.6507,0.159831,0,0,0.007367,98.6066,0,0,1.04987,0,0.151021,0.025339,0,100,2,O,0.001599,0,0,0.000147,0.986702,0,0,0.010505,0,0.001511,0.000254,2,0.011921,0.023905,0.006031,0.013595,0.016631,0.039249,0.032934,0.008195,0.013571,0.012811,0.012752,0.025502,0.032223,0.011395,0.019448,0.021114,0.049496,0.040215,0.013669,0.017523,0.016482,0.017225,27.961,-120.86,-23.03,105.525,0.117913,-64.058,-22.082,2.02548,-37.8,16.8426,58.8763,-5.603,-33.082,13.09,0,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,59,0.026203,0,0,0.02547,78.4103,0,0,0.39355,0,0.046062,0.012651,21.4616,100.376,0.056057,0,0,0.036436,99.5505,0,0,0.656464,0,0.059259,0.017089,0,100.376,0.046361,0,0,0.013623,32.8286,0,0,0.40828,0,0.040986,0.006892,66.6553,0.139064,0,0,0.020432,98.4722,0,0,1.22467,0,0.122941,0.020672,0,100,2,O,0.001391,0,0,0.000409,0.985026,0,0,0.01225,0,0.00123,0.000207,2,0.011922,0.023917,0.006034,0.013603,0.01664,0.039279,0.032959,0.008199,0.01358,0.01282,0.012759,0.025506,0.03224,0.011401,0.01946,0.021126,0.049533,0.040245,0.013677,0.017535,0.016493,0.017235,32.0256,-37.439,-29.137,38.4519,0.117967,-62.47,-50.214,1.77507,-59.424,20.4778,71.8954,-5.603,-33.071,13.09,10.0098,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,60,0.01365,0.006786,0,0,78.4466,0,0,0.420744,0,0.04288,0,21.4613,100.392,0.029203,0.009147,0,0,99.5965,0,0,0.701826,0,0.055165,0,0.000004,100.392,0.024149,0.014666,0,0,32.84,0,0,0.436442,0,0.03815,0,66.6466,0.072419,0.021991,0,0,98.4824,0,0,1.30883,0,0.114408,0,0,100,2,O,0.000725,0.00044,0,0,0.985496,0,0,0.013097,0,0.001145,0,2,0.01192,0.023913,0.006033,0.013599,0.016634,0.039269,0.03295,0.008197,0.013577,0.012817,0.012755,0.025502,0.032234,0.011399,0.019454,0.021119,0.049521,0.040234,0.013673,0.017531,0.016489,0.01723,61.193,250.062,-25.711,-469.24,0.117897,-74.739,-78.299,1.67811,-63.224,21.9322,-108.68,-5.603,-33.062,13.09,20.0005,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,61,0.021995,0,0,0.038161,78.5572,0,0,0.534784,0,0.068207,0.010908,21.6019,100.833,0.047055,0,0,0.054591,99.737,0,0,0.892051,0,0.087748,0.014734,0.000004,100.833,0.03866,0,0,0.020277,32.6738,0,0,0.551151,0,0.060291,0.005903,66.65,0.115956,0,0,0.03041,98.002,0,0,1.65313,0,0.180839,0.017705,0,100,2,O,0.00116,0,0,0.000608,0.980459,0,0,0.016539,0,0.001809,0.000177,2,0.011891,0.023886,0.006026,0.013589,0.016618,0.039249,0.032933,0.008188,0.013567,0.012808,0.012743,0.025439,0.032198,0.011387,0.019439,0.021098,0.049496,0.040213,0.013658,0.017519,0.016478,0.017213,37.9953,-408.27,-26.078,25.8746,0.117811,-148.03,-17.158,1.37755,-63.371,14.0761,83.1737,-5.603,-33.051,13.09,30.0102,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,62,0.019177,0,0,0,78.698,0,0,0.159408,0,0.000315,0.001978,21.3469,100.226,0.041026,0,0,0,99.9157,0,0,0.265902,0,0.000405,0.002672,0,100.226,0.034118,0,0,0,33.1317,0,0,0.166291,0,0.000282,0.001083,66.6666,0.102353,0,0,0,99.3947,0,0,0.498872,0,0.000845,0.00325,0,100,2,O,0.001024,0,0,0,0.993951,0,0,0.004989,0,0.000008,0.000033,2,0.011967,0.023946,0.006041,0.013611,0.016659,0.039282,0.032964,0.00821,0.013587,0.012826,0.012771,0.025601,0.032278,0.011414,0.019472,0.02115,0.049537,0.040251,0.013695,0.017544,0.016501,0.017251,43.815,-34.65,-21.861,-45.62,0.117666,-40.705,-50.965,3.94865,-48.03,2879.95,456.564,-5.603,-33.042,13.09,40.0009,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,63,0.021525,0,0,0,78.701,0,0,0.204776,0,0.026454,0.00437,21.389,100.347,0.046049,0,0,0,99.9196,0,0,0.341578,0,0.034033,0.005903,0,100.347,0.038215,0,0,0,33.0638,0,0,0.213172,0,0.02362,0.002389,66.6588,0.114619,0,0,0,99.168,0,0,0.639364,0,0.070842,0.007165,0,100,2,O,0.001147,0,0,0,0.992032,0,0,0.006396,0,0.000709,0.000072,2,0.011954,0.023934,0.006038,0.013606,0.01665,0.039271,0.032955,0.008206,0.013582,0.012821,0.012765,0.025575,0.032262,0.011409,0.019464,0.021139,0.049524,0.04024,0.013687,0.017538,0.016495,0.017243,39.0249,-698.69,-19.936,-131.35,0.11765,-187.3,-81.23,3.14109,-37.269,35.0554,206.917,-5.603,-33.032,13.09,49.9992,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,64,0.022827,0,0,0,78.886,0,0,0.203062,0,0.009231,0,21.4328,100.554,0.048835,0,0,0,100.154,0,0,0.338719,0,0.011876,0,0,100.554,0.040448,0,0,0,33.0764,0,0,0.210973,0,0.008226,0,66.6639,0.121333,0,0,0,99.2211,0,0,0.632866,0,0.024676,0,0,100,2,O,0.001213,0,0,0,0.992334,0,0,0.006329,0,0.000247,0,2,0.011954,0.023932,0.006038,0.013605,0.016649,0.039267,0.032952,0.008205,0.013581,0.01282,0.012764,0.025575,0.03226,0.011408,0.019463,0.021137,0.049519,0.040236,0.013687,0.017536,0.016493,0.017242,36.817,-86.772,-21.828,-91.133,0.117494,-43.011,-28.551,3.16488,-234.48,98.9142,-124.98,-5.603,-33.021,13.09,60.0128,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,65,0.015945,0,0,0.029967,78.6034,0,0.00442,0.381361,0,0.038217,0.013787,21.4949,100.582,0.034111,0,0,0.04287,99.7956,0,0.005398,0.636133,0,0.049166,0.018624,0,100.582,0.028168,0,0,0.016005,32.8599,0,0.001212,0.395039,0,0.033954,0.0075,66.6582,0.084505,0,0,0.024007,98.5802,0,0.001818,1.18512,0,0.101863,0.022499,0,100,2,O,0.000845,0,0,0.00048,0.985922,0,0.000036,0.011853,0,0.001019,0.000225,2,0.011915,0.023892,0.006028,0.013588,0.016623,0.039234,0.032922,0.008191,0.013565,0.012806,0.012745,0.02549,0.032206,0.011389,0.019438,0.021105,0.049477,0.040199,0.013663,0.017516,0.016475,0.017216,52.4027,-61.821,-20.449,32.7512,0.117673,-672.83,524.511,1.82075,-28.709,24.4879,65.9534,-5.603,-33.012,13.09,69.9997,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,66,0.009728,0,0,0.065651,78.4726,0,0,0.447451,0,0.087712,0.013865,21.5253,100.622,0.020813,0,0,0.093917,99.6296,0,0,0.746375,0,0.112841,0.018729,0.000004,100.622,0.017159,0,0,0.035007,32.7532,0,0,0.462764,0,0.077805,0.00753,66.6466,0.051474,0,0,0.052506,98.2519,0,0,1.38818,0,0.233398,0.022588,0,100,2,O,0.000515,0,0,0.001051,0.982891,0,0,0.013887,0,0.002335,0.000226,2,0.011896,0.023878,0.006024,0.013581,0.016614,0.039224,0.032912,0.008185,0.01356,0.012801,0.012737,0.02545,0.032187,0.011383,0.019429,0.021093,0.049464,0.040187,0.013653,0.017509,0.016468,0.017206,85.5637,-52.469,-32.09,15.3256,0.117781,-155.19,-132.5,1.5924,-95.514,11.1131,65.5484,-5.603,-33.001,13.09,80.0095,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
Aberfoyle_1,2,40,20,40,0,67,0.011325,0,0,0.059725,78.4734,0,0,0.410179,0,0.061425,0.039327,21.5013,100.557,0.024228,0,0,0.085439,99.6306,0,0,0.684203,0,0.079023,0.053122,0,100.557,0.02,0,0,0.031885,32.7937,0,0,0.424737,0,0.054554,0.021383,66.6538,0.060006,0,0,0.047832,98.39,0,0,1.27433,0,0.163676,0.064156,0,100,2,O,0.0006,0,0,0.000957,0.983999,0,0,0.012745,0,0.001637,0.000642,2,0.011903,0.023882,0.006025,0.013584,0.016619,0.039227,0.032915,0.008188,0.013562,0.012803,0.01274,0.025464,0.032193,0.011385,0.019432,0.021099,0.049469,0.040192,0.013657,0.017512,0.016471,0.017209,73.5875,-40.065,-24.811,16.7799,0.117785,-40.065,-165.62,1.71216,-33.731,15.5353,23.556,-5.603,-32.992,13.09,90.0002,214,334,319,303,301,332,333,140,335,126,524,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zircon
