"  SAMPLE"	"  NUMBER"	" TAKEOFF"	"KILOVOLT"	" CURRENT"	"BEAMSIZE"	"    LINE"	"  Si WT%"	"  Na WT%"	"  Al WT%"	"  Nb WT%"	"  Sn WT%"	"   W WT%"	"  Ta WT%"	"  Ti WT%"	"  Mn WT%"	"  Fe WT%"	"  Zr WT%"	"   O WT%"	"   TOTAL"	"    SiO2"	"    Na2O"	"   Al2O3"	"   Nb2O5"	"    SnO2"	"     WO3"	"   Ta2O5"	"    TiO2"	"     MnO"	"     FeO"	"    ZrO2"	"       O"	"   TOTAL"	"  Si AT%"	"  Na AT%"	"  Al AT%"	"  Nb AT%"	"  Sn AT%"	"   W AT%"	"  Ta AT%"	"  Ti AT%"	"  Mn AT%"	"  Fe AT%"	"  Zr AT%"	"   O AT%"	"Si OXMOL%"	"Na OXMOL%"	"Al OXMOL%"	"Nb OXMOL%"	"Sn OXMOL%"	"W OXMOL%"	"Ta OXMOL%"	"Ti OXMOL%"	"Mn OXMOL%"	"Fe OXMOL%"	"Zr OXMOL%"	"O OXMOL%"	"   TOTAL"	" FORMULA"	"   BASIS"	"Si FORMULA"	"Na FORMULA"	"Al FORMULA"	"Nb FORMULA"	"Sn FORMULA"	"W FORMULA"	"Ta FORMULA"	"Ti FORMULA"	"Mn FORMULA"	"Fe FORMULA"	"Zr FORMULA"	"O FORMULA"	"Si CDL99"	"Na CDL99"	"Al CDL99"	"Nb CDL99"	"Sn CDL99"	" W CDL99"	"Ta CDL99"	"Ti CDL99"	"Mn CDL99"	"Fe CDL99"	"Zr CDL99"	"SiO2 CDL99"	"Na2O CDL99"	"Al2O3 CDL99"	"Nb2O5 CDL99"	"SnO2 CDL99"	"WO3 CDL99"	"Ta2O5 CDL99"	"TiO2 CDL99"	"MnO CDL99"	"FeO CDL99"	"ZrO2 CDL99"	"Si %ERR "	"Na %ERR "	"Al %ERR "	"Nb %ERR "	"Sn %ERR "	" W %ERR "	"Ta %ERR "	"Ti %ERR "	"Mn %ERR "	"Fe %ERR "	"Zr %ERR "	"   X-POS"	"   Y-POS"	"   Z-POS"	" RELDIST"	"Si STD_NUM"	"Na STD_NUM"	"Al STD_NUM"	"Nb STD_NUM"	"Sn STD_NUM"	"W STD_NUM"	"Ta STD_NUM"	"Ti STD_NUM"	"Mn STD_NUM"	"Fe STD_NUM"	"Zr STD_NUM"	"Si STD_NAM"	"Na STD_NAM"	"Al STD_NAM"	"Nb STD_NAM"	"Sn STD_NAM"	"W STD_NAM"	"Ta STD_NAM"	"Ti STD_NAM"	"Mn STD_NAM"	"Fe STD_NAM"	"Zr STD_NAM"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	58	 .030050	 .000000	 .000000	 .009164	 78.3445	 .000000	 .000000	 .336636	 .000000	 .056458	 .015473	 21.4071	 100.199	 .064287	 .000000	 .000000	 .013109	 99.4670	 .000000	 .000000	 .561528	 .000000	 .072633	 .020901	 .000002	 100.199	 .053298	 .000000	 .000000	 .004914	 32.8822	 .000000	 .000000	 .350099	 .000000	 .050361	 .008450	 66.6507	 .159831	 .000000	 .000000	 .007367	 98.6066	 .000000	 .000000	 1.04987	 .000000	 .151021	 .025339	 .000000	 100.000	 2.00000	O	 .001599	 .000000	 .000000	 .000147	 .986702	 .000000	 .000000	 .010505	 .000000	 .001511	 .000254	 2.00000	 .011921	 .023905	 .006031	 .013595	 .016631	 .039249	 .032934	 .008195	 .013571	 .012811	 .012752	 .025502	 .032223	 .011395	 .019448	 .021114	 .049496	 .040215	 .013669	 .017523	 .016482	 .017225	 27.9610	 -120.86	 -23.030	 105.525	 .117913	 -64.058	 -22.082	 2.02548	 -37.800	 16.8426	 58.8763	 -5.6030	 -33.082	 13.0900	 .000000	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	59	 .026203	 .000000	 .000000	 .025470	 78.4103	 .000000	 .000000	 .393550	 .000000	 .046062	 .012651	 21.4616	 100.376	 .056057	 .000000	 .000000	 .036436	 99.5505	 .000000	 .000000	 .656464	 .000000	 .059259	 .017089	  .00000	 100.376	 .046361	 .000000	 .000000	 .013623	 32.8286	 .000000	 .000000	 .408280	 .000000	 .040986	 .006892	 66.6553	 .139064	 .000000	 .000000	 .020432	 98.4722	 .000000	 .000000	 1.22467	 .000000	 .122941	 .020672	 .000000	 100.000	 2.00000	O	 .001391	 .000000	 .000000	 .000409	 .985026	 .000000	 .000000	 .012250	 .000000	 .001230	 .000207	 2.00000	 .011922	 .023917	 .006034	 .013603	 .016640	 .039279	 .032959	 .008199	 .013580	 .012820	 .012759	 .025506	 .032240	 .011401	 .019460	 .021126	 .049533	 .040245	 .013677	 .017535	 .016493	 .017235	 32.0256	 -37.439	 -29.137	 38.4519	 .117967	 -62.470	 -50.214	 1.77507	 -59.424	 20.4778	 71.8954	 -5.6030	 -33.071	 13.0900	 10.0098	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	60	 .013650	 .006786	 .000000	 .000000	 78.4466	 .000000	 .000000	 .420744	 .000000	 .042880	 .000000	 21.4613	 100.392	 .029203	 .009147	 .000000	 .000000	 99.5965	 .000000	 .000000	 .701826	 .000000	 .055165	 .000000	 .000004	 100.392	 .024149	 .014666	 .000000	 .000000	 32.8400	 .000000	 .000000	 .436442	 .000000	 .038150	 .000000	 66.6466	 .072419	 .021991	 .000000	 .000000	 98.4824	 .000000	 .000000	 1.30883	 .000000	 .114408	 .000000	 .000000	 100.000	 2.00000	O	 .000725	 .000440	 .000000	 .000000	 .985496	 .000000	 .000000	 .013097	 .000000	 .001145	 .000000	 2.00000	 .011920	 .023913	 .006033	 .013599	 .016634	 .039269	 .032950	 .008197	 .013577	 .012817	 .012755	 .025502	 .032234	 .011399	 .019454	 .021119	 .049521	 .040234	 .013673	 .017531	 .016489	 .017230	 61.1930	 250.062	 -25.711	 -469.24	 .117897	 -74.739	 -78.299	 1.67811	 -63.224	 21.9322	 -108.68	 -5.6030	 -33.062	 13.0900	 20.0005	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	61	 .021995	 .000000	 .000000	 .038161	 78.5572	 .000000	 .000000	 .534784	 .000000	 .068207	 .010908	 21.6019	 100.833	 .047055	 .000000	 .000000	 .054591	 99.7370	 .000000	 .000000	 .892051	 .000000	 .087748	 .014734	 .000004	 100.833	 .038660	 .000000	 .000000	 .020277	 32.6738	 .000000	 .000000	 .551151	 .000000	 .060291	 .005903	 66.6500	 .115956	 .000000	 .000000	 .030410	 98.0020	 .000000	 .000000	 1.65313	 .000000	 .180839	 .017705	 .000000	 100.000	 2.00000	O	 .001160	 .000000	 .000000	 .000608	 .980459	 .000000	 .000000	 .016539	 .000000	 .001809	 .000177	 2.00000	 .011891	 .023886	 .006026	 .013589	 .016618	 .039249	 .032933	 .008188	 .013567	 .012808	 .012743	 .025439	 .032198	 .011387	 .019439	 .021098	 .049496	 .040213	 .013658	 .017519	 .016478	 .017213	 37.9953	 -408.27	 -26.078	 25.8746	 .117811	 -148.03	 -17.158	 1.37755	 -63.371	 14.0761	 83.1737	 -5.6030	 -33.051	 13.0900	 30.0102	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	62	 .019177	 .000000	 .000000	 .000000	 78.6980	 .000000	 .000000	 .159408	 .000000	 .000315	 .001978	 21.3469	 100.226	 .041026	 .000000	 .000000	 .000000	 99.9157	 .000000	 .000000	 .265902	 .000000	 .000405	 .002672	 .000000	 100.226	 .034118	 .000000	 .000000	 .000000	 33.1317	 .000000	 .000000	 .166291	 .000000	 .000282	 .001083	 66.6666	 .102353	 .000000	 .000000	 .000000	 99.3947	 .000000	 .000000	 .498872	 .000000	 .000845	 .003250	 .000000	 100.000	 2.00000	O	 .001024	 .000000	 .000000	 .000000	 .993951	 .000000	 .000000	 .004989	 .000000	 .000008	 .000033	 2.00000	 .011967	 .023946	 .006041	 .013611	 .016659	 .039282	 .032964	 .008210	 .013587	 .012826	 .012771	 .025601	 .032278	 .011414	 .019472	 .021150	 .049537	 .040251	 .013695	 .017544	 .016501	 .017251	 43.8150	 -34.650	 -21.861	 -45.620	 .117666	 -40.705	 -50.965	 3.94865	 -48.030	 2879.95	 456.564	 -5.6030	 -33.042	 13.0900	 40.0009	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	63	 .021525	 .000000	 .000000	 .000000	 78.7010	 .000000	 .000000	 .204776	 .000000	 .026454	 .004370	 21.3890	 100.347	 .046049	 .000000	 .000000	 .000000	 99.9196	 .000000	 .000000	 .341578	 .000000	 .034033	 .005903	 .000000	 100.347	 .038215	 .000000	 .000000	 .000000	 33.0638	 .000000	 .000000	 .213172	 .000000	 .023620	 .002389	 66.6588	 .114619	 .000000	 .000000	 .000000	 99.1680	 .000000	 .000000	 .639364	 .000000	 .070842	 .007165	 .000000	 100.000	 2.00000	O	 .001147	 .000000	 .000000	 .000000	 .992032	 .000000	 .000000	 .006396	 .000000	 .000709	 .000072	 2.00000	 .011954	 .023934	 .006038	 .013606	 .016650	 .039271	 .032955	 .008206	 .013582	 .012821	 .012765	 .025575	 .032262	 .011409	 .019464	 .021139	 .049524	 .040240	 .013687	 .017538	 .016495	 .017243	 39.0249	 -698.69	 -19.936	 -131.35	 .117650	 -187.30	 -81.230	 3.14109	 -37.269	 35.0554	 206.917	 -5.6030	 -33.032	 13.0900	 49.9992	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	64	 .022827	 .000000	 .000000	 .000000	 78.8860	 .000000	 .000000	 .203062	 .000000	 .009231	 .000000	 21.4328	 100.554	 .048835	 .000000	 .000000	 .000000	 100.154	 .000000	 .000000	 .338719	 .000000	 .011876	 .000000	  .00000	 100.554	 .040448	 .000000	 .000000	 .000000	 33.0764	 .000000	 .000000	 .210973	 .000000	 .008226	 .000000	 66.6639	 .121333	 .000000	 .000000	 .000000	 99.2211	 .000000	 .000000	 .632866	 .000000	 .024676	 .000000	 .000000	 100.000	 2.00000	O	 .001213	 .000000	 .000000	 .000000	 .992334	 .000000	 .000000	 .006329	 .000000	 .000247	 .000000	 2.00000	 .011954	 .023932	 .006038	 .013605	 .016649	 .039267	 .032952	 .008205	 .013581	 .012820	 .012764	 .025575	 .032260	 .011408	 .019463	 .021137	 .049519	 .040236	 .013687	 .017536	 .016493	 .017242	 36.8170	 -86.772	 -21.828	 -91.133	 .117494	 -43.011	 -28.551	 3.16488	 -234.48	 98.9142	 -124.98	 -5.6030	 -33.021	 13.0900	 60.0128	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	65	 .015945	 .000000	 .000000	 .029967	 78.6034	 .000000	 .004420	 .381361	 .000000	 .038217	 .013787	 21.4949	 100.582	 .034111	 .000000	 .000000	 .042870	 99.7956	 .000000	 .005398	 .636133	 .000000	 .049166	 .018624	 .000000	 100.582	 .028168	 .000000	 .000000	 .016005	 32.8599	 .000000	 .001212	 .395039	 .000000	 .033954	 .007500	 66.6582	 .084505	 .000000	 .000000	 .024007	 98.5802	 .000000	 .001818	 1.18512	 .000000	 .101863	 .022499	 .000000	 100.000	 2.00000	O	 .000845	 .000000	 .000000	 .000480	 .985922	 .000000	 .000036	 .011853	 .000000	 .001019	 .000225	 2.00000	 .011915	 .023892	 .006028	 .013588	 .016623	 .039234	 .032922	 .008191	 .013565	 .012806	 .012745	 .025490	 .032206	 .011389	 .019438	 .021105	 .049477	 .040199	 .013663	 .017516	 .016475	 .017216	 52.4027	 -61.821	 -20.449	 32.7512	 .117673	 -672.83	 524.511	 1.82075	 -28.709	 24.4879	 65.9534	 -5.6030	 -33.012	 13.0900	 69.9997	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	66	 .009728	 .000000	 .000000	 .065651	 78.4726	 .000000	 .000000	 .447451	 .000000	 .087712	 .013865	 21.5253	 100.622	 .020813	 .000000	 .000000	 .093917	 99.6296	 .000000	 .000000	 .746375	 .000000	 .112841	 .018729	 .000004	 100.622	 .017159	 .000000	 .000000	 .035007	 32.7532	 .000000	 .000000	 .462764	 .000000	 .077805	 .007530	 66.6466	 .051474	 .000000	 .000000	 .052506	 98.2519	 .000000	 .000000	 1.38818	 .000000	 .233398	 .022588	 .000000	 100.000	 2.00000	O	 .000515	 .000000	 .000000	 .001051	 .982891	 .000000	 .000000	 .013887	 .000000	 .002335	 .000226	 2.00000	 .011896	 .023878	 .006024	 .013581	 .016614	 .039224	 .032912	 .008185	 .013560	 .012801	 .012737	 .025450	 .032187	 .011383	 .019429	 .021093	 .049464	 .040187	 .013653	 .017509	 .016468	 .017206	 85.5637	 -52.469	 -32.090	 15.3256	 .117781	 -155.19	 -132.50	 1.59240	 -95.514	 11.1131	 65.5484	 -5.6030	 -33.001	 13.0900	 80.0095	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
"Aberfoyle_1"	2	 40.0000	 20.0000	 40.0000	 .000000	67	 .011325	 .000000	 .000000	 .059725	 78.4734	 .000000	 .000000	 .410179	 .000000	 .061425	 .039327	 21.5013	 100.557	 .024228	 .000000	 .000000	 .085439	 99.6306	 .000000	 .000000	 .684203	 .000000	 .079023	 .053122	 .000000	 100.557	 .020000	 .000000	 .000000	 .031885	 32.7937	 .000000	 .000000	 .424737	 .000000	 .054554	 .021383	 66.6538	 .060006	 .000000	 .000000	 .047832	 98.3900	 .000000	 .000000	 1.27433	 .000000	 .163676	 .064156	 .000000	 100.000	 2.00000	O	 .000600	 .000000	 .000000	 .000957	 .983999	 .000000	 .000000	 .012745	 .000000	 .001637	 .000642	 2.00000	 .011903	 .023882	 .006025	 .013584	 .016619	 .039227	 .032915	 .008188	 .013562	 .012803	 .012740	 .025464	 .032193	 .011385	 .019432	 .021099	 .049469	 .040192	 .013657	 .017512	 .016471	 .017209	 73.5875	 -40.065	 -24.811	 16.7799	 .117785	 -40.065	 -165.62	 1.71216	 -33.731	 15.5353	 23.5560	 -5.6030	 -32.992	 13.0900	 90.0002	214	334	319	303	301	332	333	140	335	126	524	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zircon"
