  SAMPLE,  NUMBER, TAKEOFF,KILOVOLT, CURRENT,BEAMSIZE,    LINE,  Si WT%,  Na WT%,  Al WT%,  Nb WT%,  Sn WT%,   W WT%,  Ta WT%,  Ti WT%,  Mn WT%,  Fe WT%,  Zr WT%,   O WT%,   TOTAL,    SiO2,    Na2O,   Al2O3,   Nb2O5,    SnO2,     WO3,   Ta2O5,    TiO2,     MnO,     FeO,    ZrO2,       O,   TOTAL,  Si AT%,  Na AT%,  Al AT%,  Nb AT%,  Sn AT%,   W AT%,  Ta AT%,  Ti AT%,  Mn AT%,  Fe AT%,  Zr AT%,   O AT%,Si OXMOL%,Na OXMOL%,Al OXMOL%,Nb OXMOL%,Sn OXMOL%,W OXMOL%,Ta OXMOL%,Ti OXMOL%,Mn OXMOL%,Fe OXMOL%,Zr OXMOL%,O OXMOL%,   TOTAL, FORMULA,   BASIS,Si FORMULA,Na FORMULA,Al FORMULA,Nb FORMULA,Sn FORMULA,W FORMULA,Ta FORMULA,Ti FORMULA,Mn FORMULA,Fe FORMULA,Zr FORMULA,O FORMULA,Si CDL99,Na CDL99,Al CDL99,Nb CDL99,Sn CDL99, W CDL99,Ta CDL99,Ti CDL99,Mn CDL99,Fe CDL99,Zr CDL99,SiO2 CDL99,Na2O CDL99,Al2O3 CDL99,Nb2O5 CDL99,SnO2 CDL99,WO3 CDL99,Ta2O5 CDL99,TiO2 CDL99,MnO CDL99,FeO CDL99,ZrO2 CDL99,Si %ERR ,Na %ERR ,Al %ERR ,Nb %ERR ,Sn %ERR , W %ERR ,Ta %ERR ,Ti %ERR ,Mn %ERR ,Fe %ERR ,Zr %ERR ,   X-POS,   Y-POS,   Z-POS, RELDIST,Si STD_NUM,Na STD_NUM,Al STD_NUM,Nb STD_NUM,Sn STD_NUM,W STD_NUM,Ta STD_NUM,Ti STD_NUM,Mn STD_NUM,Fe STD_NUM,Zr STD_NUM,Si STD_NAM,Na STD_NAM,Al STD_NAM,Nb STD_NAM,Sn STD_NAM,W STD_NAM,Ta STD_NAM,Ti STD_NAM,Mn STD_NAM,Fe STD_NAM,Zr STD_NAM
CS13_Saltwater_E1,2,40,20,80,0,58,0,0,0.003038,0,77.4853,0,0,0.066371,0,0.159706,0,20.9836,98.698,0,0,0.00574,0,98.3761,0,0,0.110711,0,0.205461,0,0,98.698,0,0,0.005719,0,33.1613,0,0,0.070383,0,0.145261,0,66.6173,0,0,0.008567,0,99.3454,0,0,0.210856,0,0.435175,0,0,100,2,O,0,0,0.000172,0,0.995578,0,0,0.002113,0,0.004361,0,2,0.008574,0.015644,0.004062,0.009489,0.011706,0.02715,0.022599,0.005822,0.009733,0.00915,0.008568,0.018342,0.021088,0.007675,0.013574,0.014862,0.034238,0.027594,0.009712,0.012568,0.011771,0.011573,-163.6,-17.151,94.5935,-36.087,0.084012,-36.598,-18.667,6.40212,-220.53,4.59752,-29.018,-20.69,-4.9931,10.599,0,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,59,0,0,0.004606,0,77.6541,0,0,0.051256,0.010417,0.193833,0,21.0332,98.9475,0,0,0.008703,0,98.5904,0,0,0.085497,0.013451,0.249366,0,0,98.9475,0,0,0.008649,0,33.1483,0,0,0.054215,0.009607,0.175848,0,66.6034,0,0,0.012951,0,99.2693,0,0,0.162357,0.028769,0.526614,0,0,100,2,O,0,0,0.00026,0,0.995393,0,0,0.001628,0.000288,0.00528,0,2,0.008572,0.01564,0.004062,0.009488,0.011705,0.027147,0.022597,0.005821,0.009731,0.009148,0.008567,0.018339,0.021083,0.007675,0.013573,0.014861,0.034235,0.027592,0.00971,0.012566,0.011769,0.011572,-81.491,-23.396,62.4936,-34.47,0.083915,-24.559,-15.194,8.21978,66.736,3.8777,-40.702,-20.692,-4.9834,10.599,9.97905,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,60,0,0,0,0,77.8602,0,0,0.038733,0,0.142987,0,21.0587,99.1007,0,0,0,0,98.8521,0,0,0.064608,0,0.183952,0,-0.00001,99.1007,0,0,0,0,33.206,0,0,0.040931,0,0.129602,0,66.6235,0,0,0,0,99.4891,0,0,0.122635,0,0.388303,0,0,100,2,O,0,0,0,0,0.996826,0,0,0.001229,0,0.003891,0,2,0.008579,0.015641,0.004063,0.00949,0.011708,0.02715,0.0226,0.005824,0.009733,0.00915,0.008568,0.018353,0.021084,0.007677,0.013576,0.014865,0.034239,0.027596,0.009714,0.012568,0.011771,0.011574,-228.79,-42.24,-465.86,-34.672,0.083796,-51.138,-24.078,10.8053,-24.131,5.07383,-27.124,-20.695,-4.9736,10.599,20.0427,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,61,0,0,0.005081,0,77.54,0,0,0.072735,0,0.174708,0,21.0087,98.8012,0,0,0.009601,0,98.4455,0,0,0.121326,0,0.224762,0,0,98.8012,0,0,0.009554,0,33.1425,0,0,0.077034,0,0.158704,0,66.6122,0,0,0.014309,0,99.2795,0,0,0.230757,0,0.475403,0,0,100,2,O,0,0,0.000287,0,0.99509,0,0,0.002313,0,0.004765,0,2,0.008572,0.015632,0.004062,0.009488,0.011704,0.027146,0.022596,0.005821,0.00973,0.009147,0.008566,0.018338,0.021072,0.007674,0.013573,0.01486,0.034233,0.027591,0.00971,0.012564,0.011768,0.011571,-41.96,-37.966,56.6773,-23.559,0.083973,-59.938,-28.378,5.86083,-96.208,4.24591,-34.642,-20.697,-4.9639,10.599,29.9815,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,62,0,0,0,0,77.2749,0,0,0.275069,0,0.078721,0,21.0404,98.6691,0,0,0,0,98.109,0,0,0.458831,0,0.101274,0,0.000006,98.6691,0,0,0,0,32.9947,0,0,0.291022,0,0.071435,0,66.6429,0,0,0,0,98.9134,0,0,0.872442,0,0.214151,0,0,100,2,O,0,0,0,0,0.990194,0,0,0.008734,0,0.002144,0,2,0.008554,0.01561,0.004057,0.00948,0.011692,0.027134,0.022585,0.005815,0.009724,0.009142,0.008558,0.018299,0.021042,0.007666,0.013562,0.014844,0.034218,0.027578,0.0097,0.012557,0.011761,0.01156,-95.511,-25.22,-64.347,-48.453,0.084109,-42.428,-19.147,1.71029,-59.761,8.77123,-26.088,-20.699,-4.9542,10.599,39.9606,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,63,0,0,0,0,77.6933,0,0,0.219482,0,0.105859,0,21.1238,99.1424,0,0,0,0,98.6401,0,0,0.366109,0,0.136187,0,0,99.1424,0,0,0,0,33.0383,0,0,0.231266,0,0.09567,0,66.6348,0,0,0,0,99.0201,0,0,0.693136,0,0.286736,0,0,100,2,O,0,0,0,0,0.991623,0,0,0.006941,0,0.002871,0,2,0.008559,0.015611,0.004058,0.009482,0.011694,0.027134,0.022586,0.005816,0.009724,0.009142,0.008559,0.01831,0.021043,0.007668,0.013564,0.014847,0.034218,0.027579,0.009702,0.012556,0.011761,0.011562,-82.705,-36.334,-33.809,-55.051,0.08387,-47.874,-22.442,2.08985,-136.57,6.66213,-89.553,-20.701,-4.9444,10.5995,50.0269,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,64,0,0,0,0,77.6985,0,0,0.170983,0,0.050159,0,21.0769,98.9965,0,0,0,0,98.6468,0,0,0.285209,0,0.06453,0,-0.00001,98.9965,0,0,0,0,33.1224,0,0,0.18061,0,0.045444,0,66.6515,0,0,0,0,99.3221,0,0,0.541582,0,0.13627,0,0,100,2,O,0,0,0,0,0.993899,0,0,0.00542,0,0.001364,0,2,0.008567,0.015615,0.00406,0.009485,0.0117,0.02714,0.022591,0.00582,0.009727,0.009145,0.008562,0.018329,0.021049,0.007671,0.013569,0.014855,0.034225,0.027585,0.009708,0.01256,0.011764,0.011566,-99.108,-34.081,-75.66,-36.513,0.083867,-47.55,-16.701,2.62232,-60.609,13.4512,-81.36,-20.704,-4.9347,10.5995,59.9833,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,65,0,0,0,0,78.0261,0,0,0.146908,0,0.039929,0,21.1462,99.3591,0,0,0,0,99.0626,0,0,0.245052,0,0.051368,0,0.000006,99.3591,0,0,0,0,33.1546,0,0,0.154678,0,0.036058,0,66.6547,0,0,0,0,99.428,0,0,0.463868,0,0.108136,0,0,100,2,O,0,0,0,0,0.994818,0,0,0.004641,0,0.001082,0,2,0.00857,0.015613,0.00406,0.009486,0.011701,0.027139,0.022591,0.00582,0.009727,0.009144,0.008563,0.018335,0.021046,0.007672,0.013569,0.014856,0.034224,0.027585,0.009709,0.01256,0.011764,0.011566,-31.873,-27.057,-20.063,-25.351,0.083678,-35.522,-12.674,3.01599,-228.9,16.7519,-95.674,-20.706,-4.9249,10.5995,70.0295,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,66,0,0,0,0,78.2243,0,0,0.104328,0,0.057548,0,21.1762,99.5624,0,0,0,0,99.3143,0,0,0.174025,0,0.074036,0,0.000004,99.5624,0,0,0,0,33.1891,0,0,0.109681,0,0.051892,0,66.6494,0,0,0,0,99.5155,0,0,0.328873,0,0.155596,0,0,100,2,O,0,0,0,0,0.99593,0,0,0.003291,0,0.001557,0,2,0.008575,0.015616,0.004062,0.009488,0.011705,0.027143,0.022595,0.005822,0.009728,0.009146,0.008565,0.018346,0.021049,0.007675,0.013573,0.01486,0.03423,0.02759,0.009712,0.012561,0.011766,0.011569,-23.665,-19.194,-15.003,-23.94,0.083576,-37.35,-16.677,4.15611,-82.097,11.7972,-25.874,-20.708,-4.9152,10.5995,79.9984,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
CS13_Saltwater_E1,2,40,20,80,0,67,0,0,0,0,77.5643,0,0,0.1881,0.002243,0.106075,0.012361,21.0731,98.9462,0,0,0,0,98.4764,0,0,0.313762,0.002897,0.136465,0.016697,0,98.9462,0,0,0,0,33.0624,0,0,0.198673,0.002066,0.096094,0.006855,66.634,0,0,0,0,99.0898,0,0,0.595435,0.006191,0.288,0.020546,0,100,2,O,0,0,0,0,0.992358,0,0,0.005963,0.000062,0.002884,0.000206,2,0.008561,0.0156,0.004059,0.009483,0.011695,0.027133,0.022586,0.005817,0.009722,0.00914,0.008559,0.018316,0.021028,0.007669,0.013565,0.014849,0.034217,0.027579,0.009702,0.012554,0.011759,0.011562,-58.143,-29.831,-53.439,-24.438,0.083934,-77.308,-41.003,2.40243,306.954,6.64853,49.3738,-20.711,-4.9055,10.6,89.9774,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
