  SAMPLE,LOCALITY,REGION,STATE,STYLE,ZONE
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Main
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E1_dark,Saltwater Creek,Northeast Tasmania,TAS,Greisen,Sector
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
CS13_Saltwater_E3,Saltwater Creek,Northeast Tasmania,TAS,Greisen,
