  SAMPLE,  NUMBER, TAKEOFF,KILOVOLT, CURRENT,BEAMSIZE,    LINE,  Si WT%,  Na WT%,  Al WT%,  Nb WT%,  Sn WT%,   W WT%,  Ta WT%,  Ti WT%,  Mn WT%,  Fe WT%,  Zr WT%,   O WT%,   TOTAL,    SiO2,    Na2O,   Al2O3,   Nb2O5,    SnO2,     WO3,   Ta2O5,    TiO2,     MnO,     FeO,    ZrO2,       O,   TOTAL,  Si AT%,  Na AT%,  Al AT%,  Nb AT%,  Sn AT%,   W AT%,  Ta AT%,  Ti AT%,  Mn AT%,  Fe AT%,  Zr AT%,   O AT%,Si OXMOL%,Na OXMOL%,Al OXMOL%,Nb OXMOL%,Sn OXMOL%,W OXMOL%,Ta OXMOL%,Ti OXMOL%,Mn OXMOL%,Fe OXMOL%,Zr OXMOL%,O OXMOL%,   TOTAL, FORMULA,   BASIS,Si FORMULA,Na FORMULA,Al FORMULA,Nb FORMULA,Sn FORMULA,W FORMULA,Ta FORMULA,Ti FORMULA,Mn FORMULA,Fe FORMULA,Zr FORMULA,O FORMULA,Si CDL99,Na CDL99,Al CDL99,Nb CDL99,Sn CDL99, W CDL99,Ta CDL99,Ti CDL99,Mn CDL99,Fe CDL99,Zr CDL99,SiO2 CDL99,Na2O CDL99,Al2O3 CDL99,Nb2O5 CDL99,SnO2 CDL99,WO3 CDL99,Ta2O5 CDL99,TiO2 CDL99,MnO CDL99,FeO CDL99,ZrO2 CDL99,Si %ERR ,Na %ERR ,Al %ERR ,Nb %ERR ,Sn %ERR , W %ERR ,Ta %ERR ,Ti %ERR ,Mn %ERR ,Fe %ERR ,Zr %ERR ,   X-POS,   Y-POS,   Z-POS, RELDIST,BEAMCURR,Si STD_NUM,Na STD_NUM,Al STD_NUM,Nb STD_NUM,Sn STD_NUM,W STD_NUM,Ta STD_NUM,Ti STD_NUM,Mn STD_NUM,Fe STD_NUM,Zr STD_NUM,Si STD_NAM,Na STD_NAM,Al STD_NAM,Nb STD_NAM,Sn STD_NAM,W STD_NAM,Ta STD_NAM,Ti STD_NAM,Mn STD_NAM,Fe STD_NAM,Zr STD_NAM
BT-twinsector,2,40,20,80,0,58,0,0,0,0.067106,78.4459,0,0,0,0.001449,0.012278,0,21.1826,99.7093,0,0,0,0.095998,99.5957,0,0,0,0.001871,0.015795,0,0.000004,99.7093,0,0,0,0.036373,33.2826,0,0,0,0.001328,0.011071,0,66.6686,0,0,0,0.054593,99.9082,0,0,0,0.003988,0.033232,0,0,100,2,O,0,0,0,0.001091,0.99845,0,0,0,0.00004,0.000332,0,2,0.008577,0.014904,0.004148,0.009439,0.011542,0.027045,0.022734,0.00583,0.009631,0.008961,0.008476,0.01835,0.020091,0.007837,0.013502,0.014654,0.034106,0.027759,0.009725,0.012435,0.011528,0.011449,-253.1,-31.766,-11.981,10.4361,0.083016,-28.599,-29.673,-22.649,470.243,52.1328,-89.351,30.4334,14.0149,13.065,0,80.65,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,59,0,0,0,0.136104,78.4753,0,0,0,0,0.018204,0.021994,21.2293,99.8809,0,0,0,0.194702,99.6331,0,0,0,0,0.023419,0.029709,0,99.8809,0,0,0,0.073615,33.2244,0,0,0,0,0.016379,0.012116,66.6735,0,0,0,0.110567,99.8038,0,0,0,0,0.049203,0.036395,0,100,2,O,0,0,0,0.002208,0.996631,0,0,0,0,0.000491,0.000363,2,0.008572,0.014895,0.004146,0.009436,0.011541,0.027041,0.02273,0.005828,0.009628,0.008959,0.008474,0.018338,0.020078,0.007834,0.013499,0.014653,0.034101,0.027755,0.009722,0.012432,0.011526,0.011447,-52.94,-37.172,-9.6415,5.38605,0.083013,-57.558,-24.439,-13.41,-163.84,35.3424,27.6847,30.4235,14.0132,13.065,10.0363,80.66,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,60,0,0,0,0.119967,78.6374,0,0,0,0,0.009012,0.004041,21.2571,100.028,0,0,0,0.171618,99.8389,0,0,0,0,0.011593,0.005458,0,100.028,0,0,0,0.064803,33.2501,0,0,0,0,0.008098,0.002223,66.6748,0,0,0,0.097323,99.8717,0,0,0,0,0.024324,0.006677,0,100,2,O,0,0,0,0.001944,0.997382,0,0,0,0,0.000243,0.000067,2,0.008574,0.014895,0.004146,0.009437,0.011541,0.027041,0.02273,0.005829,0.009628,0.008959,0.008474,0.018343,0.020078,0.007834,0.013499,0.014653,0.034101,0.027755,0.009723,0.012432,0.011526,0.011447,-418.26,-28.52,-12.112,6.04766,0.082914,-71.253,-22.396,-15.012,-145.57,70.7996,148.552,30.4137,14.0115,13.065,19.9809,80.67,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,61,0,0,0,0.076457,78.4573,0,0,0,0,0.007574,0.008949,21.1911,99.7413,0,0,0,0.109374,99.6101,0,0,0,0,0.009744,0.012089,0,99.7413,0,0,0,0.041426,33.2755,0,0,0,0,0.006827,0.004939,66.6713,0,0,0,0.062187,99.9025,0,0,0,0,0.020497,0.014827,0,100,2,O,0,0,0,0.001243,0.998196,0,0,0,0,0.000205,0.000148,2,0.008576,0.014894,0.004147,0.009437,0.01154,0.02704,0.022729,0.005829,0.009628,0.008959,0.008475,0.018347,0.020077,0.007835,0.0135,0.014652,0.0341,0.027754,0.009723,0.012432,0.011526,0.011448,-56.435,-46.794,-10.85,9.21758,0.082998,-180.56,-26.408,-14.383,-73.804,84.1254,67.3409,30.4038,14.0098,13.065,30.038,80.68,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,62,0,0,0,0.038463,78.7272,0.063928,0,0,0,0.004909,0,21.2603,100.095,0,0,0,0.055022,99.9528,0.080619,0,0,0,0.006316,0,0,100.095,0,0,0,0.020773,33.2829,0.017448,0,0,0,0.004411,0,66.6745,0,0,0,0.031177,99.9032,0.052372,0,0,0,0.01324,0,0,100,2,O,0,0,0,0.000623,0.99837,0.000523,0,0,0,0.000132,0,2,0.008583,0.014896,0.004147,0.009442,0.011545,0.027046,0.022734,0.005831,0.00963,0.008961,0.00848,0.018362,0.020079,0.007836,0.013507,0.014657,0.034107,0.02776,0.009727,0.012434,0.011528,0.011455,-48.204,-30.411,-11.249,17.8469,0.082856,30.1311,-15.845,-16.19,-42.045,129.5,-2771.8,30.394,14.008,13.065,40.0001,80.68,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,63,0,0,0,0.027852,78.6582,0,0,0,0,0,0,21.219,99.9051,0,0,0,0.039844,99.8653,0,0,0,0,0,0,0,99.9051,0,0,0,0.015071,33.3158,0,0,0,0,0,0,66.6692,0,0,0,0.022613,99.9774,0,0,0,0,0,0,0,100,2,O,0,0,0,0.000452,0.999435,0,0,0,0,0,0,2,0.008579,0.014893,0.004147,0.009437,0.011539,0.027038,0.022728,0.00583,0.009627,0.008959,0.008476,0.018353,0.020075,0.007835,0.0135,0.01465,0.034098,0.027752,0.009724,0.012431,0.011525,0.011449,-64.579,-22.503,-10.534,24.443,0.08287,-65.814,-29.065,-11.5,-33.767,-203.99,-159.07,30.3841,14.0063,13.065,50.0458,80.7,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,64,0,0,0,0.048728,78.7571,0,0,0,0,0.006135,0.008238,21.2593,100.08,0,0,0,0.069708,99.9908,0,0,0,0,0.007893,0.011129,0,100.08,0,0,0,0.026317,33.2944,0,0,0,0,0.005512,0.004532,66.6692,0,0,0,0.039494,99.9304,0,0,0,0,0.016544,0.013601,0,100,2,O,0,0,0,0.000789,0.998795,0,0,0,0,0.000165,0.000136,2,0.008576,0.014887,0.004146,0.009436,0.011539,0.027036,0.022726,0.005829,0.009626,0.008958,0.008475,0.018348,0.020068,0.007834,0.013499,0.014649,0.034094,0.027749,0.009723,0.012429,0.011524,0.011448,-40.201,-20.936,-12.383,14.1828,0.082817,-63.17,-22.088,-12.819,-304.61,103.706,73.1071,30.3743,14.0046,13.065,59.9828,80.71,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,65,0,0,0,0.031571,78.4877,0.061969,0,0,0,0,0.013044,21.1954,99.7896,0,0,0,0.045163,99.6487,0.078147,0,0,0,0,0.01762,0.000002,99.7896,0,0,0,0.017104,33.2836,0.016965,0,0,0,0,0.007197,66.6752,0,0,0,0.025668,99.9018,0.050921,0,0,0,0,0.021603,0,100,2,O,0,0,0,0.000513,0.99838,0.000509,0,0,0,0,0.000216,2,0.008581,0.014887,0.004147,0.009441,0.011544,0.027041,0.022731,0.00583,0.009628,0.008959,0.008479,0.018359,0.020068,0.007835,0.013506,0.014656,0.034101,0.027755,0.009725,0.012432,0.011526,0.011454,-59.204,-46.107,-11.419,21.6313,0.082975,31.0691,-11.515,-13.491,-54.513,-254.44,46.379,30.3644,14.0029,13.065,70.0251,80.7,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,66,0,0,0,0.040489,78.6654,0.107528,0,0,0,0.009564,0.001995,21.2579,100.083,0,0,0,0.057921,99.8743,0.135601,0,0,0,0.012304,0.002694,0,100.083,0,0,0,0.021871,33.2619,0.029352,0,0,0,0.008594,0.001097,66.6772,0,0,0,0.032828,99.85,0.088112,0,0,0,0.0258,0.003294,0,100,2,O,0,0,0,0.000656,0.997698,0.00088,0,0,0,0.000258,0.000033,2,0.008583,0.014883,0.004146,0.009442,0.011544,0.027039,0.022729,0.00583,0.009627,0.008958,0.008481,0.018361,0.020062,0.007834,0.013507,0.014657,0.034099,0.027753,0.009725,0.01243,0.011525,0.011456,-27.973,-28.381,-11.592,16.9785,0.082872,18.0464,-19.176,-11.641,-45.248,66.7355,300.667,30.3546,14.0012,13.065,79.9731,80.73,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
BT-twinsector,2,40,20,80,0,67,0,0,0,0.042963,78.5633,0,0,0,0,0.003692,0.014033,21.2059,99.8299,0,0,0,0.061461,99.7447,0,0,0,0,0.00475,0.018955,0.000002,99.8299,0,0,0,0.023262,33.2962,0,0,0,0,0.003326,0.007738,66.6694,0,0,0,0.034908,99.9319,0,0,0,0,0.009981,0.023224,0,100,2,O,0,0,0,0.000698,0.998846,0,0,0,0,0.0001,0.000232,2,0.008575,0.014879,0.004146,0.009435,0.011538,0.027032,0.022723,0.005828,0.009624,0.008956,0.008474,0.018346,0.020057,0.007833,0.013497,0.014648,0.03409,0.027746,0.009722,0.012427,0.011522,0.011447,-63.647,-16.729,-12.501,16.0179,0.082911,-1354.4,-23.912,-11.98,-46.119,171.91,43.1195,30.3447,13.9995,13.065,90.0268,80.73,214,334,319,303,301,332,333,140,335,126,503,Wollastonite,Jadeite,Corundum,CaNb2O6,Cassiterite,Scheelite,Manganotantalite,Rutile,Mn,Magnetite,Zr
