"  SAMPLE"	"  NUMBER"	" TAKEOFF"	"KILOVOLT"	" CURRENT"	"BEAMSIZE"	"    LINE"	"  Si WT%"	"  Na WT%"	"  Al WT%"	"  Nb WT%"	"  Sn WT%"	"   W WT%"	"  Ta WT%"	"  Ti WT%"	"  Mn WT%"	"  Fe WT%"	"  Zr WT%"	"   O WT%"	"   TOTAL"	"    SiO2"	"    Na2O"	"   Al2O3"	"   Nb2O5"	"    SnO2"	"     WO3"	"   Ta2O5"	"    TiO2"	"     MnO"	"     FeO"	"    ZrO2"	"       O"	"   TOTAL"	"  Si AT%"	"  Na AT%"	"  Al AT%"	"  Nb AT%"	"  Sn AT%"	"   W AT%"	"  Ta AT%"	"  Ti AT%"	"  Mn AT%"	"  Fe AT%"	"  Zr AT%"	"   O AT%"	"Si OXMOL%"	"Na OXMOL%"	"Al OXMOL%"	"Nb OXMOL%"	"Sn OXMOL%"	"W OXMOL%"	"Ta OXMOL%"	"Ti OXMOL%"	"Mn OXMOL%"	"Fe OXMOL%"	"Zr OXMOL%"	"O OXMOL%"	"   TOTAL"	" FORMULA"	"   BASIS"	"Si FORMULA"	"Na FORMULA"	"Al FORMULA"	"Nb FORMULA"	"Sn FORMULA"	"W FORMULA"	"Ta FORMULA"	"Ti FORMULA"	"Mn FORMULA"	"Fe FORMULA"	"Zr FORMULA"	"O FORMULA"	"Si CDL99"	"Na CDL99"	"Al CDL99"	"Nb CDL99"	"Sn CDL99"	" W CDL99"	"Ta CDL99"	"Ti CDL99"	"Mn CDL99"	"Fe CDL99"	"Zr CDL99"	"SiO2 CDL99"	"Na2O CDL99"	"Al2O3 CDL99"	"Nb2O5 CDL99"	"SnO2 CDL99"	"WO3 CDL99"	"Ta2O5 CDL99"	"TiO2 CDL99"	"MnO CDL99"	"FeO CDL99"	"ZrO2 CDL99"	"Si %ERR "	"Na %ERR "	"Al %ERR "	"Nb %ERR "	"Sn %ERR "	" W %ERR "	"Ta %ERR "	"Ti %ERR "	"Mn %ERR "	"Fe %ERR "	"Zr %ERR "	"   X-POS"	"   Y-POS"	"   Z-POS"	" RELDIST"	"BEAMCURR"	"Si STD_NUM"	"Na STD_NUM"	"Al STD_NUM"	"Nb STD_NUM"	"Sn STD_NUM"	"W STD_NUM"	"Ta STD_NUM"	"Ti STD_NUM"	"Mn STD_NUM"	"Fe STD_NUM"	"Zr STD_NUM"	"Si STD_NAM"	"Na STD_NAM"	"Al STD_NAM"	"Nb STD_NAM"	"Sn STD_NAM"	"W STD_NAM"	"Ta STD_NAM"	"Ti STD_NAM"	"Mn STD_NAM"	"Fe STD_NAM"	"Zr STD_NAM"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	58	 .000000	 .000000	 .000000	 .067106	 78.4459	 .000000	 .000000	 .000000	 .001449	 .012278	 .000000	 21.1826	 99.7093	 .000000	 .000000	 .000000	 .095998	 99.5957	 .000000	 .000000	 .000000	 .001871	 .015795	 .000000	 .000004	 99.7093	 .000000	 .000000	 .000000	 .036373	 33.2826	 .000000	 .000000	 .000000	 .001328	 .011071	 .000000	 66.6686	 .000000	 .000000	 .000000	 .054593	 99.9082	 .000000	 .000000	 .000000	 .003988	 .033232	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .001091	 .998450	 .000000	 .000000	 .000000	 .000040	 .000332	 .000000	 2.00000	 .008577	 .014904	 .004148	 .009439	 .011542	 .027045	 .022734	 .005830	 .009631	 .008961	 .008476	 .018350	 .020091	 .007837	 .013502	 .014654	 .034106	 .027759	 .009725	 .012435	 .011528	 .011449	 -253.10	 -31.766	 -11.981	 10.4361	 .083016	 -28.599	 -29.673	 -22.649	 470.243	 52.1328	 -89.351	 30.4334	 14.0149	 13.0650	 .000000	 80.6500	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	59	 .000000	 .000000	 .000000	 .136104	 78.4753	 .000000	 .000000	 .000000	 .000000	 .018204	 .021994	 21.2293	 99.8809	 .000000	 .000000	 .000000	 .194702	 99.6331	 .000000	 .000000	 .000000	 .000000	 .023419	 .029709	 .000000	 99.8809	 .000000	 .000000	 .000000	 .073615	 33.2244	 .000000	 .000000	 .000000	 .000000	 .016379	 .012116	 66.6735	 .000000	 .000000	 .000000	 .110567	 99.8038	 .000000	 .000000	 .000000	 .000000	 .049203	 .036395	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .002208	 .996631	 .000000	 .000000	 .000000	 .000000	 .000491	 .000363	 2.00000	 .008572	 .014895	 .004146	 .009436	 .011541	 .027041	 .022730	 .005828	 .009628	 .008959	 .008474	 .018338	 .020078	 .007834	 .013499	 .014653	 .034101	 .027755	 .009722	 .012432	 .011526	 .011447	 -52.940	 -37.172	 -9.6415	 5.38605	 .083013	 -57.558	 -24.439	 -13.410	 -163.84	 35.3424	 27.6847	 30.4235	 14.0132	 13.0650	 10.0363	 80.6600	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	60	 .000000	 .000000	 .000000	 .119967	 78.6374	 .000000	 .000000	 .000000	 .000000	 .009012	 .004041	 21.2571	 100.028	 .000000	 .000000	 .000000	 .171618	 99.8389	 .000000	 .000000	 .000000	 .000000	 .011593	 .005458	 .000000	 100.028	 .000000	 .000000	 .000000	 .064803	 33.2501	 .000000	 .000000	 .000000	 .000000	 .008098	 .002223	 66.6748	 .000000	 .000000	 .000000	 .097323	 99.8717	 .000000	 .000000	 .000000	 .000000	 .024324	 .006677	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .001944	 .997382	 .000000	 .000000	 .000000	 .000000	 .000243	 .000067	 2.00000	 .008574	 .014895	 .004146	 .009437	 .011541	 .027041	 .022730	 .005829	 .009628	 .008959	 .008474	 .018343	 .020078	 .007834	 .013499	 .014653	 .034101	 .027755	 .009723	 .012432	 .011526	 .011447	 -418.26	 -28.520	 -12.112	 6.04766	 .082914	 -71.253	 -22.396	 -15.012	 -145.57	 70.7996	 148.552	 30.4137	 14.0115	 13.0650	 19.9809	 80.6700	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	61	 .000000	 .000000	 .000000	 .076457	 78.4573	 .000000	 .000000	 .000000	 .000000	 .007574	 .008949	 21.1911	 99.7413	 .000000	 .000000	 .000000	 .109374	 99.6101	 .000000	 .000000	 .000000	 .000000	 .009744	 .012089	 .000000	 99.7413	 .000000	 .000000	 .000000	 .041426	 33.2755	 .000000	 .000000	 .000000	 .000000	 .006827	 .004939	 66.6713	 .000000	 .000000	 .000000	 .062187	 99.9025	 .000000	 .000000	 .000000	 .000000	 .020497	 .014827	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .001243	 .998196	 .000000	 .000000	 .000000	 .000000	 .000205	 .000148	 2.00000	 .008576	 .014894	 .004147	 .009437	 .011540	 .027040	 .022729	 .005829	 .009628	 .008959	 .008475	 .018347	 .020077	 .007835	 .013500	 .014652	 .034100	 .027754	 .009723	 .012432	 .011526	 .011448	 -56.435	 -46.794	 -10.850	 9.21758	 .082998	 -180.56	 -26.408	 -14.383	 -73.804	 84.1254	 67.3409	 30.4038	 14.0098	 13.0650	 30.0380	 80.6800	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	62	 .000000	 .000000	 .000000	 .038463	 78.7272	 .063928	 .000000	 .000000	 .000000	 .004909	 .000000	 21.2603	 100.095	 .000000	 .000000	 .000000	 .055022	 99.9528	 .080619	 .000000	 .000000	 .000000	 .006316	 .000000	  .00000	 100.095	 .000000	 .000000	 .000000	 .020773	 33.2829	 .017448	 .000000	 .000000	 .000000	 .004411	 .000000	 66.6745	 .000000	 .000000	 .000000	 .031177	 99.9032	 .052372	 .000000	 .000000	 .000000	 .013240	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000623	 .998370	 .000523	 .000000	 .000000	 .000000	 .000132	 .000000	 2.00000	 .008583	 .014896	 .004147	 .009442	 .011545	 .027046	 .022734	 .005831	 .009630	 .008961	 .008480	 .018362	 .020079	 .007836	 .013507	 .014657	 .034107	 .027760	 .009727	 .012434	 .011528	 .011455	 -48.204	 -30.411	 -11.249	 17.8469	 .082856	 30.1311	 -15.845	 -16.190	 -42.045	 129.500	 -2771.8	 30.3940	 14.0080	 13.0650	 40.0001	 80.6800	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	63	 .000000	 .000000	 .000000	 .027852	 78.6582	 .000000	 .000000	 .000000	 .000000	 .000000	 .000000	 21.2190	 99.9051	 .000000	 .000000	 .000000	 .039844	 99.8653	 .000000	 .000000	 .000000	 .000000	 .000000	 .000000	 .000000	 99.9051	 .000000	 .000000	 .000000	 .015071	 33.3158	 .000000	 .000000	 .000000	 .000000	 .000000	 .000000	 66.6692	 .000000	 .000000	 .000000	 .022613	 99.9774	 .000000	 .000000	 .000000	 .000000	 .000000	 .000000	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000452	 .999435	 .000000	 .000000	 .000000	 .000000	 .000000	 .000000	 2.00000	 .008579	 .014893	 .004147	 .009437	 .011539	 .027038	 .022728	 .005830	 .009627	 .008959	 .008476	 .018353	 .020075	 .007835	 .013500	 .014650	 .034098	 .027752	 .009724	 .012431	 .011525	 .011449	 -64.579	 -22.503	 -10.534	 24.4430	 .082870	 -65.814	 -29.065	 -11.500	 -33.767	 -203.99	 -159.07	 30.3841	 14.0063	 13.0650	 50.0458	 80.7000	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	64	 .000000	 .000000	 .000000	 .048728	 78.7571	 .000000	 .000000	 .000000	 .000000	 .006135	 .008238	 21.2593	 100.080	 .000000	 .000000	 .000000	 .069708	 99.9908	 .000000	 .000000	 .000000	 .000000	 .007893	 .011129	  .00000	 100.080	 .000000	 .000000	 .000000	 .026317	 33.2944	 .000000	 .000000	 .000000	 .000000	 .005512	 .004532	 66.6692	 .000000	 .000000	 .000000	 .039494	 99.9304	 .000000	 .000000	 .000000	 .000000	 .016544	 .013601	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000789	 .998795	 .000000	 .000000	 .000000	 .000000	 .000165	 .000136	 2.00000	 .008576	 .014887	 .004146	 .009436	 .011539	 .027036	 .022726	 .005829	 .009626	 .008958	 .008475	 .018348	 .020068	 .007834	 .013499	 .014649	 .034094	 .027749	 .009723	 .012429	 .011524	 .011448	 -40.201	 -20.936	 -12.383	 14.1828	 .082817	 -63.170	 -22.088	 -12.819	 -304.61	 103.706	 73.1071	 30.3743	 14.0046	 13.0650	 59.9828	 80.7100	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	65	 .000000	 .000000	 .000000	 .031571	 78.4877	 .061969	 .000000	 .000000	 .000000	 .000000	 .013044	 21.1954	 99.7896	 .000000	 .000000	 .000000	 .045163	 99.6487	 .078147	 .000000	 .000000	 .000000	 .000000	 .017620	 .000002	 99.7896	 .000000	 .000000	 .000000	 .017104	 33.2836	 .016965	 .000000	 .000000	 .000000	 .000000	 .007197	 66.6752	 .000000	 .000000	 .000000	 .025668	 99.9018	 .050921	 .000000	 .000000	 .000000	 .000000	 .021603	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000513	 .998380	 .000509	 .000000	 .000000	 .000000	 .000000	 .000216	 2.00000	 .008581	 .014887	 .004147	 .009441	 .011544	 .027041	 .022731	 .005830	 .009628	 .008959	 .008479	 .018359	 .020068	 .007835	 .013506	 .014656	 .034101	 .027755	 .009725	 .012432	 .011526	 .011454	 -59.204	 -46.107	 -11.419	 21.6313	 .082975	 31.0691	 -11.515	 -13.491	 -54.513	 -254.44	 46.3790	 30.3644	 14.0029	 13.0650	 70.0251	 80.7000	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	66	 .000000	 .000000	 .000000	 .040489	 78.6654	 .107528	 .000000	 .000000	 .000000	 .009564	 .001995	 21.2579	 100.083	 .000000	 .000000	 .000000	 .057921	 99.8743	 .135601	 .000000	 .000000	 .000000	 .012304	 .002694	  .00000	 100.083	 .000000	 .000000	 .000000	 .021871	 33.2619	 .029352	 .000000	 .000000	 .000000	 .008594	 .001097	 66.6772	 .000000	 .000000	 .000000	 .032828	 99.8500	 .088112	 .000000	 .000000	 .000000	 .025800	 .003294	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000656	 .997698	 .000880	 .000000	 .000000	 .000000	 .000258	 .000033	 2.00000	 .008583	 .014883	 .004146	 .009442	 .011544	 .027039	 .022729	 .005830	 .009627	 .008958	 .008481	 .018361	 .020062	 .007834	 .013507	 .014657	 .034099	 .027753	 .009725	 .012430	 .011525	 .011456	 -27.973	 -28.381	 -11.592	 16.9785	 .082872	 18.0464	 -19.176	 -11.641	 -45.248	 66.7355	 300.667	 30.3546	 14.0012	 13.0650	 79.9731	 80.7300	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
"BT-twinsector"	2	 40.0000	 20.0000	 80.0000	 .000000	67	 .000000	 .000000	 .000000	 .042963	 78.5633	 .000000	 .000000	 .000000	 .000000	 .003692	 .014033	 21.2059	 99.8299	 .000000	 .000000	 .000000	 .061461	 99.7447	 .000000	 .000000	 .000000	 .000000	 .004750	 .018955	 .000002	 99.8299	 .000000	 .000000	 .000000	 .023262	 33.2962	 .000000	 .000000	 .000000	 .000000	 .003326	 .007738	 66.6694	 .000000	 .000000	 .000000	 .034908	 99.9319	 .000000	 .000000	 .000000	 .000000	 .009981	 .023224	 .000000	 100.000	 2.00000	O	 .000000	 .000000	 .000000	 .000698	 .998846	 .000000	 .000000	 .000000	 .000000	 .000100	 .000232	 2.00000	 .008575	 .014879	 .004146	 .009435	 .011538	 .027032	 .022723	 .005828	 .009624	 .008956	 .008474	 .018346	 .020057	 .007833	 .013497	 .014648	 .034090	 .027746	 .009722	 .012427	 .011522	 .011447	 -63.647	 -16.729	 -12.501	 16.0179	 .082911	 -1354.4	 -23.912	 -11.980	 -46.119	 171.910	 43.1195	 30.3447	 13.9995	 13.0650	 90.0268	 80.7300	214	334	319	303	301	332	333	140	335	126	503	"Wollastonite"	"Jadeite"	"Corundum"	"CaNb2O6"	"Cassiterite"	"Scheelite"	"Manganotantalite"	"Rutile"	"Mn"	"Magnetite"	"Zr"
